epoch 1, train loss 1.859, test loss 1.738, test acc 0.4993, lr 0.001
epoch 2, train loss 1.704, test loss 1.693, test acc 0.5351, lr 0.001
epoch 3, train loss 1.669, test loss 1.625, test acc 0.5851, lr 0.001
epoch 4, train loss 1.644, test loss 1.62, test acc 0.5884, lr 0.001
epoch 5, train loss 1.605, test loss 1.6, test acc 0.6002, lr 0.001
epoch 6, train loss 1.571, test loss 1.574, test acc 0.6147, lr 0.001
epoch 7, train loss 1.539, test loss 1.513, test acc 0.6457, lr 0.001
epoch 8, train loss 1.509, test loss 1.507, test acc 0.6515, lr 0.001
epoch 9, train loss 1.496, test loss 1.525, test acc 0.639, lr 0.001
epoch 10, train loss 1.482, test loss 1.478, test acc 0.6695, lr 0.001
epoch 11, train loss 1.469, test loss 1.465, test acc 0.6784, lr 0.001
epoch 12, train loss 1.459, test loss 1.451, test acc 0.6833, lr 0.001
epoch 13, train loss 1.448, test loss 1.437, test acc 0.6957, lr 0.001
epoch 14, train loss 1.433, test loss 1.442, test acc 0.6897, lr 0.001
epoch 15, train loss 1.425, test loss 1.428, test acc 0.7007, lr 0.001
epoch 16, train loss 1.419, test loss 1.43, test acc 0.7048, lr 0.001
epoch 17, train loss 1.408, test loss 1.41, test acc 0.7211, lr 0.001
epoch 18, train loss 1.396, test loss 1.4, test acc 0.7232, lr 0.001
epoch 19, train loss 1.388, test loss 1.41, test acc 0.7141, lr 0.001
epoch 20, train loss 1.38, test loss 1.374, test acc 0.7379, lr 0.001
epoch 21, train loss 1.372, test loss 1.368, test acc 0.7413, lr 0.001
epoch 22, train loss 1.371, test loss 1.377, test acc 0.7345, lr 0.001
epoch 23, train loss 1.364, test loss 1.365, test acc 0.7406, lr 0.001
epoch 24, train loss 1.363, test loss 1.371, test acc 0.7407, lr 0.001
epoch 25, train loss 1.357, test loss 1.362, test acc 0.749, lr 0.001
epoch 26, train loss 1.351, test loss 1.354, test acc 0.7415, lr 0.001
epoch 27, train loss 1.348, test loss 1.367, test acc 0.739, lr 0.001
epoch 28, train loss 1.343, test loss 1.348, test acc 0.7481, lr 0.001
epoch 29, train loss 1.342, test loss 1.356, test acc 0.7442, lr 0.001
epoch 30, train loss 1.34, test loss 1.357, test acc 0.7469, lr 0.001
epoch 31, train loss 1.335, test loss 1.312, test acc 0.7707, lr 0.001
epoch 32, train loss 1.331, test loss 1.342, test acc 0.7522, lr 0.001
epoch 33, train loss 1.333, test loss 1.341, test acc 0.7576, lr 0.001
epoch 34, train loss 1.328, test loss 1.314, test acc 0.7679, lr 0.001
epoch 35, train loss 1.326, test loss 1.322, test acc 0.7671, lr 0.001
epoch 36, train loss 1.327, test loss 1.35, test acc 0.7515, lr 0.001
epoch 37, train loss 1.326, test loss 1.327, test acc 0.7644, lr 0.001
epoch 38, train loss 1.32, test loss 1.326, test acc 0.7589, lr 0.001
epoch 39, train loss 1.319, test loss 1.33, test acc 0.7578, lr 0.001
epoch 40, train loss 1.319, test loss 1.331, test acc 0.7564, lr 0.001
epoch 41, train loss 1.313, test loss 1.315, test acc 0.7662, lr 0.001
epoch 42, train loss 1.306, test loss 1.319, test acc 0.7653, lr 0.001
epoch 43, train loss 1.31, test loss 1.314, test acc 0.7669, lr 0.001
epoch 44, train loss 1.31, test loss 1.303, test acc 0.7777, lr 0.001
epoch 45, train loss 1.309, test loss 1.328, test acc 0.7611, lr 0.001
epoch 46, train loss 1.306, test loss 1.316, test acc 0.7646, lr 0.001
epoch 47, train loss 1.309, test loss 1.301, test acc 0.7782, lr 0.001
epoch 48, train loss 1.306, test loss 1.331, test acc 0.7503, lr 0.001
epoch 49, train loss 1.303, test loss 1.327, test acc 0.761, lr 0.001
epoch 50, train loss 1.307, test loss 1.314, test acc 0.7616, lr 0.001
