epoch 1, train loss 1.772, test loss 1.56, test acc 0.6165, lr 0.001
epoch 2, train loss 1.476, test loss 1.428, test acc 0.7004, lr 0.001
epoch 3, train loss 1.35, test loss 1.317, test acc 0.7603, lr 0.001
epoch 4, train loss 1.27, test loss 1.279, test acc 0.7816, lr 0.001
epoch 5, train loss 1.222, test loss 1.231, test acc 0.8127, lr 0.001
epoch 6, train loss 1.181, test loss 1.182, test acc 0.8383, lr 0.001
epoch 7, train loss 1.151, test loss 1.157, test acc 0.8492, lr 0.001
epoch 8, train loss 1.125, test loss 1.142, test acc 0.859, lr 0.001
epoch 9, train loss 1.103, test loss 1.12, test acc 0.867, lr 0.001
epoch 10, train loss 1.09, test loss 1.122, test acc 0.8688, lr 0.001
epoch 11, train loss 1.069, test loss 1.124, test acc 0.8664, lr 0.001
epoch 12, train loss 1.054, test loss 1.128, test acc 0.8654, lr 0.001
epoch 13, train loss 1.041, test loss 1.091, test acc 0.8823, lr 0.001
epoch 14, train loss 1.033, test loss 1.081, test acc 0.8851, lr 0.001
epoch 15, train loss 1.019, test loss 1.081, test acc 0.889, lr 0.001
epoch 16, train loss 1.012, test loss 1.078, test acc 0.8901, lr 0.001
epoch 17, train loss 1.002, test loss 1.078, test acc 0.8878, lr 0.001
epoch 18, train loss 0.9911, test loss 1.066, test acc 0.8958, lr 0.001
epoch 19, train loss 0.9865, test loss 1.077, test acc 0.89, lr 0.001
epoch 20, train loss 0.9757, test loss 1.068, test acc 0.8945, lr 0.001
epoch 21, train loss 0.9696, test loss 1.069, test acc 0.899, lr 0.001
epoch 22, train loss 0.9656, test loss 1.053, test acc 0.906, lr 0.001
epoch 23, train loss 0.9573, test loss 1.059, test acc 0.9033, lr 0.001
epoch 24, train loss 0.9563, test loss 1.047, test acc 0.9063, lr 0.001
epoch 25, train loss 0.9485, test loss 1.05, test acc 0.9055, lr 0.001
epoch 26, train loss 0.9437, test loss 1.047, test acc 0.9078, lr 0.001
epoch 27, train loss 0.9421, test loss 1.051, test acc 0.9054, lr 0.001
epoch 28, train loss 0.935, test loss 1.052, test acc 0.9081, lr 0.001
epoch 29, train loss 0.9337, test loss 1.047, test acc 0.907, lr 0.001
epoch 30, train loss 0.9281, test loss 1.049, test acc 0.9081, lr 0.001
epoch 31, train loss 0.9243, test loss 1.053, test acc 0.9055, lr 0.001
epoch 32, train loss 0.9217, test loss 1.041, test acc 0.9113, lr 0.001
epoch 33, train loss 0.9221, test loss 1.05, test acc 0.9089, lr 0.001
epoch 34, train loss 0.918, test loss 1.042, test acc 0.9121, lr 0.001
epoch 35, train loss 0.9146, test loss 1.039, test acc 0.9143, lr 0.001
epoch 36, train loss 0.913, test loss 1.04, test acc 0.9142, lr 0.001
epoch 37, train loss 0.91, test loss 1.047, test acc 0.9095, lr 0.001
epoch 38, train loss 0.9096, test loss 1.041, test acc 0.9158, lr 0.001
epoch 39, train loss 0.9074, test loss 1.034, test acc 0.9152, lr 0.001
epoch 40, train loss 0.9061, test loss 1.041, test acc 0.9153, lr 0.001
epoch 41, train loss 0.9021, test loss 1.043, test acc 0.9146, lr 0.001
epoch 42, train loss 0.9028, test loss 1.036, test acc 0.9155, lr 0.001
epoch 43, train loss 0.9023, test loss 1.046, test acc 0.9119, lr 0.001
epoch 44, train loss 0.9011, test loss 1.036, test acc 0.9161, lr 0.001
epoch 45, train loss 0.8995, test loss 1.043, test acc 0.9136, lr 0.001
epoch 46, train loss 0.8985, test loss 1.04, test acc 0.9155, lr 0.001
epoch 47, train loss 0.8989, test loss 1.039, test acc 0.9165, lr 0.001
epoch 48, train loss 0.8961, test loss 1.039, test acc 0.9167, lr 0.001
epoch 49, train loss 0.895, test loss 1.034, test acc 0.9192, lr 0.001
epoch 50, train loss 0.8955, test loss 1.041, test acc 0.9146, lr 0.001
