epoch 1, train loss 1.773, test loss 1.549, test acc 0.6237, lr 0.001
epoch 2, train loss 1.487, test loss 1.433, test acc 0.6959, lr 0.001
epoch 3, train loss 1.363, test loss 1.346, test acc 0.7399, lr 0.001
epoch 4, train loss 1.28, test loss 1.261, test acc 0.7916, lr 0.001
epoch 5, train loss 1.212, test loss 1.234, test acc 0.8089, lr 0.001
epoch 6, train loss 1.167, test loss 1.195, test acc 0.8273, lr 0.001
epoch 7, train loss 1.13, test loss 1.164, test acc 0.8457, lr 0.001
epoch 8, train loss 1.099, test loss 1.164, test acc 0.8443, lr 0.001
epoch 9, train loss 1.073, test loss 1.14, test acc 0.8618, lr 0.001
epoch 10, train loss 1.051, test loss 1.129, test acc 0.8618, lr 0.001
epoch 11, train loss 1.031, test loss 1.114, test acc 0.8749, lr 0.001
epoch 12, train loss 1.014, test loss 1.114, test acc 0.8746, lr 0.001
epoch 13, train loss 0.998, test loss 1.114, test acc 0.8718, lr 0.001
epoch 14, train loss 0.9821, test loss 1.1, test acc 0.8809, lr 0.001
epoch 15, train loss 0.969, test loss 1.096, test acc 0.8816, lr 0.001
epoch 16, train loss 0.959, test loss 1.101, test acc 0.8824, lr 0.001
epoch 17, train loss 0.9464, test loss 1.113, test acc 0.8745, lr 0.001
epoch 18, train loss 0.9386, test loss 1.098, test acc 0.888, lr 0.001
epoch 19, train loss 0.9308, test loss 1.094, test acc 0.882, lr 0.001
epoch 20, train loss 0.9253, test loss 1.096, test acc 0.8856, lr 0.001
epoch 21, train loss 0.9161, test loss 1.093, test acc 0.8874, lr 0.001
epoch 22, train loss 0.9141, test loss 1.09, test acc 0.8894, lr 0.001
epoch 23, train loss 0.9084, test loss 1.09, test acc 0.8926, lr 0.001
epoch 24, train loss 0.9046, test loss 1.095, test acc 0.8889, lr 0.001
epoch 25, train loss 0.9031, test loss 1.094, test acc 0.8896, lr 0.001
epoch 26, train loss 0.9007, test loss 1.088, test acc 0.8918, lr 0.001
epoch 27, train loss 0.898, test loss 1.094, test acc 0.8907, lr 0.001
epoch 28, train loss 0.8913, test loss 1.077, test acc 0.8995, lr 0.001
epoch 29, train loss 0.8929, test loss 1.08, test acc 0.8985, lr 0.001
epoch 30, train loss 0.8919, test loss 1.086, test acc 0.8932, lr 0.001
epoch 31, train loss 0.886, test loss 1.089, test acc 0.8942, lr 0.001
epoch 32, train loss 0.8896, test loss 1.085, test acc 0.8954, lr 0.001
epoch 33, train loss 0.8874, test loss 1.095, test acc 0.8906, lr 0.001
epoch 34, train loss 0.8853, test loss 1.082, test acc 0.9008, lr 0.001
epoch 35, train loss 0.8839, test loss 1.077, test acc 0.9012, lr 0.001
epoch 36, train loss 0.8821, test loss 1.084, test acc 0.897, lr 0.001
epoch 37, train loss 0.8823, test loss 1.09, test acc 0.8949, lr 0.001
epoch 38, train loss 0.8809, test loss 1.076, test acc 0.9018, lr 0.001
epoch 39, train loss 0.8801, test loss 1.08, test acc 0.9018, lr 0.001
epoch 40, train loss 0.8782, test loss 1.078, test acc 0.9012, lr 0.001
epoch 41, train loss 0.8839, test loss 1.077, test acc 0.9, lr 0.001
epoch 42, train loss 0.8817, test loss 1.087, test acc 0.8958, lr 0.001
epoch 43, train loss 0.8815, test loss 1.09, test acc 0.8944, lr 0.001
epoch 44, train loss 0.881, test loss 1.077, test acc 0.9047, lr 0.001
epoch 45, train loss 0.8786, test loss 1.084, test acc 0.8983, lr 0.001
epoch 46, train loss 0.8784, test loss 1.085, test acc 0.8993, lr 0.001
epoch 47, train loss 0.8787, test loss 1.079, test acc 0.8992, lr 0.001
epoch 48, train loss 0.8795, test loss 1.079, test acc 0.9008, lr 0.001
epoch 49, train loss 0.8765, test loss 1.082, test acc 0.8984, lr 0.001
epoch 50, train loss 0.8776, test loss 1.086, test acc 0.8969, lr 0.001
