epoch 1, train loss 1.739, test loss 1.547, test acc 0.6222, lr 0.001
epoch 2, train loss 1.437, test loss 1.372, test acc 0.7337, lr 0.001
epoch 3, train loss 1.3, test loss 1.291, test acc 0.7801, lr 0.001
epoch 4, train loss 1.221, test loss 1.236, test acc 0.8026, lr 0.001
epoch 5, train loss 1.163, test loss 1.209, test acc 0.8214, lr 0.001
epoch 6, train loss 1.118, test loss 1.182, test acc 0.8348, lr 0.001
epoch 7, train loss 1.078, test loss 1.15, test acc 0.8503, lr 0.001
epoch 8, train loss 1.044, test loss 1.136, test acc 0.8542, lr 0.001
epoch 9, train loss 1.013, test loss 1.143, test acc 0.8519, lr 0.001
epoch 10, train loss 0.9888, test loss 1.132, test acc 0.8619, lr 0.001
epoch 11, train loss 0.963, test loss 1.144, test acc 0.8586, lr 0.001
epoch 12, train loss 0.9474, test loss 1.141, test acc 0.8577, lr 0.001
epoch 13, train loss 0.9303, test loss 1.153, test acc 0.8548, lr 0.001
epoch 14, train loss 0.916, test loss 1.133, test acc 0.8688, lr 0.001
epoch 15, train loss 0.9081, test loss 1.129, test acc 0.8715, lr 0.001
epoch 16, train loss 0.9054, test loss 1.132, test acc 0.8642, lr 0.001
epoch 17, train loss 0.8978, test loss 1.128, test acc 0.8702, lr 0.001
epoch 18, train loss 0.8931, test loss 1.136, test acc 0.8665, lr 0.001
epoch 19, train loss 0.8919, test loss 1.135, test acc 0.8674, lr 0.001
epoch 20, train loss 0.8899, test loss 1.139, test acc 0.8667, lr 0.001
epoch 21, train loss 0.8877, test loss 1.125, test acc 0.8714, lr 0.001
epoch 22, train loss 0.8857, test loss 1.129, test acc 0.8706, lr 0.001
epoch 23, train loss 0.8843, test loss 1.128, test acc 0.8744, lr 0.001
epoch 24, train loss 0.8831, test loss 1.133, test acc 0.8693, lr 0.001
epoch 25, train loss 0.8809, test loss 1.137, test acc 0.8686, lr 0.001
epoch 26, train loss 0.8794, test loss 1.13, test acc 0.8744, lr 0.001
epoch 27, train loss 0.8773, test loss 1.117, test acc 0.8799, lr 0.001
epoch 28, train loss 0.8783, test loss 1.13, test acc 0.8753, lr 0.001
epoch 29, train loss 0.8806, test loss 1.14, test acc 0.8667, lr 0.001
epoch 30, train loss 0.8792, test loss 1.127, test acc 0.8788, lr 0.001
epoch 31, train loss 0.877, test loss 1.125, test acc 0.8761, lr 0.001
epoch 32, train loss 0.8785, test loss 1.121, test acc 0.8783, lr 0.001
epoch 33, train loss 0.8778, test loss 1.137, test acc 0.8728, lr 0.001
epoch 34, train loss 0.8781, test loss 1.123, test acc 0.8749, lr 0.001
epoch 35, train loss 0.876, test loss 1.129, test acc 0.8755, lr 0.001
epoch 36, train loss 0.8753, test loss 1.113, test acc 0.8812, lr 0.001
epoch 37, train loss 0.8739, test loss 1.133, test acc 0.873, lr 0.001
epoch 38, train loss 0.8761, test loss 1.123, test acc 0.8771, lr 0.001
epoch 39, train loss 0.8736, test loss 1.121, test acc 0.8797, lr 0.001
epoch 40, train loss 0.8736, test loss 1.135, test acc 0.8753, lr 0.001
epoch 41, train loss 0.8746, test loss 1.131, test acc 0.8734, lr 0.001
epoch 42, train loss 0.8759, test loss 1.14, test acc 0.8734, lr 0.001
epoch 43, train loss 0.8757, test loss 1.125, test acc 0.8808, lr 0.001
epoch 44, train loss 0.8743, test loss 1.127, test acc 0.88, lr 0.001
epoch 45, train loss 0.8744, test loss 1.135, test acc 0.8733, lr 0.001
epoch 46, train loss 0.8748, test loss 1.125, test acc 0.8771, lr 0.001
epoch 47, train loss 0.8735, test loss 1.127, test acc 0.8794, lr 0.001
epoch 48, train loss 0.8745, test loss 1.136, test acc 0.8718, lr 0.001
epoch 49, train loss 0.8746, test loss 1.134, test acc 0.8766, lr 0.001
epoch 50, train loss 0.8742, test loss 1.133, test acc 0.8742, lr 0.001
