epoch 1, train loss 1.708, test loss 1.516, test acc 0.6438, lr 0.001
epoch 2, train loss 1.412, test loss 1.361, test acc 0.7411, lr 0.001
epoch 3, train loss 1.283, test loss 1.272, test acc 0.7942, lr 0.001
epoch 4, train loss 1.205, test loss 1.21, test acc 0.8206, lr 0.001
epoch 5, train loss 1.155, test loss 1.18, test acc 0.8351, lr 0.001
epoch 6, train loss 1.115, test loss 1.157, test acc 0.8471, lr 0.001
epoch 7, train loss 1.082, test loss 1.149, test acc 0.8509, lr 0.001
epoch 8, train loss 1.06, test loss 1.137, test acc 0.8566, lr 0.001
epoch 9, train loss 1.036, test loss 1.119, test acc 0.8669, lr 0.001
epoch 10, train loss 1.01, test loss 1.111, test acc 0.8711, lr 0.001
epoch 11, train loss 0.994, test loss 1.111, test acc 0.8712, lr 0.001
epoch 12, train loss 0.9767, test loss 1.128, test acc 0.8618, lr 0.001
epoch 13, train loss 0.9593, test loss 1.101, test acc 0.8765, lr 0.001
epoch 14, train loss 0.9504, test loss 1.093, test acc 0.8874, lr 0.001
epoch 15, train loss 0.936, test loss 1.09, test acc 0.885, lr 0.001
epoch 16, train loss 0.9266, test loss 1.099, test acc 0.8802, lr 0.001
epoch 17, train loss 0.9199, test loss 1.09, test acc 0.8867, lr 0.001
epoch 18, train loss 0.9105, test loss 1.093, test acc 0.8859, lr 0.001
epoch 19, train loss 0.9061, test loss 1.084, test acc 0.8909, lr 0.001
epoch 20, train loss 0.901, test loss 1.089, test acc 0.8876, lr 0.001
epoch 21, train loss 0.8992, test loss 1.096, test acc 0.8865, lr 0.001
epoch 22, train loss 0.8927, test loss 1.091, test acc 0.8872, lr 0.001
epoch 23, train loss 0.8909, test loss 1.085, test acc 0.8934, lr 0.001
epoch 24, train loss 0.8862, test loss 1.083, test acc 0.8942, lr 0.001
epoch 25, train loss 0.8843, test loss 1.094, test acc 0.8884, lr 0.001
epoch 26, train loss 0.8837, test loss 1.087, test acc 0.891, lr 0.001
epoch 27, train loss 0.8858, test loss 1.078, test acc 0.8967, lr 0.001
epoch 28, train loss 0.8812, test loss 1.081, test acc 0.8976, lr 0.001
epoch 29, train loss 0.8808, test loss 1.083, test acc 0.8928, lr 0.001
epoch 30, train loss 0.878, test loss 1.091, test acc 0.8925, lr 0.001
epoch 31, train loss 0.8745, test loss 1.079, test acc 0.8963, lr 0.001
epoch 32, train loss 0.8751, test loss 1.067, test acc 0.9033, lr 0.001
epoch 33, train loss 0.8755, test loss 1.081, test acc 0.8971, lr 0.001
epoch 34, train loss 0.8751, test loss 1.089, test acc 0.8952, lr 0.001
epoch 35, train loss 0.8747, test loss 1.091, test acc 0.8938, lr 0.001
epoch 36, train loss 0.8753, test loss 1.082, test acc 0.8984, lr 0.001
epoch 37, train loss 0.8782, test loss 1.075, test acc 0.9002, lr 0.001
epoch 38, train loss 0.8773, test loss 1.079, test acc 0.897, lr 0.001
epoch 39, train loss 0.8766, test loss 1.087, test acc 0.8951, lr 0.001
epoch 40, train loss 0.875, test loss 1.083, test acc 0.8968, lr 0.001
epoch 41, train loss 0.8744, test loss 1.091, test acc 0.8947, lr 0.001
epoch 42, train loss 0.8752, test loss 1.095, test acc 0.8927, lr 0.001
epoch 43, train loss 0.8763, test loss 1.095, test acc 0.891, lr 0.001
epoch 44, train loss 0.8745, test loss 1.098, test acc 0.8895, lr 0.001
epoch 45, train loss 0.8753, test loss 1.086, test acc 0.8974, lr 0.001
epoch 46, train loss 0.8771, test loss 1.093, test acc 0.892, lr 0.001
epoch 47, train loss 0.8779, test loss 1.104, test acc 0.8897, lr 0.001
epoch 48, train loss 0.8788, test loss 1.088, test acc 0.8968, lr 0.001
epoch 49, train loss 0.8752, test loss 1.098, test acc 0.89, lr 0.001
epoch 50, train loss 0.876, test loss 1.082, test acc 0.8971, lr 0.001
