epoch 1, train loss 1.781, test loss 1.57, test acc 0.6025, lr 0.001
epoch 2, train loss 1.508, test loss 1.445, test acc 0.6895, lr 0.001
epoch 3, train loss 1.384, test loss 1.369, test acc 0.7323, lr 0.001
epoch 4, train loss 1.296, test loss 1.272, test acc 0.7915, lr 0.001
epoch 5, train loss 1.241, test loss 1.23, test acc 0.8093, lr 0.001
epoch 6, train loss 1.196, test loss 1.198, test acc 0.8306, lr 0.001
epoch 7, train loss 1.16, test loss 1.162, test acc 0.8487, lr 0.001
epoch 8, train loss 1.137, test loss 1.168, test acc 0.8458, lr 0.001
epoch 9, train loss 1.113, test loss 1.131, test acc 0.8604, lr 0.001
epoch 10, train loss 1.089, test loss 1.125, test acc 0.8679, lr 0.001
epoch 11, train loss 1.075, test loss 1.109, test acc 0.8738, lr 0.001
epoch 12, train loss 1.061, test loss 1.102, test acc 0.8789, lr 0.001
epoch 13, train loss 1.044, test loss 1.091, test acc 0.8844, lr 0.001
epoch 14, train loss 1.033, test loss 1.087, test acc 0.8856, lr 0.001
epoch 15, train loss 1.02, test loss 1.079, test acc 0.8906, lr 0.001
epoch 16, train loss 1.011, test loss 1.078, test acc 0.8924, lr 0.001
epoch 17, train loss 1.002, test loss 1.074, test acc 0.893, lr 0.001
epoch 18, train loss 0.9924, test loss 1.069, test acc 0.8963, lr 0.001
epoch 19, train loss 0.9846, test loss 1.065, test acc 0.8983, lr 0.001
epoch 20, train loss 0.9769, test loss 1.072, test acc 0.896, lr 0.001
epoch 21, train loss 0.9703, test loss 1.062, test acc 0.899, lr 0.001
epoch 22, train loss 0.9658, test loss 1.06, test acc 0.9016, lr 0.001
epoch 23, train loss 0.9587, test loss 1.064, test acc 0.8997, lr 0.001
epoch 24, train loss 0.9523, test loss 1.064, test acc 0.9026, lr 0.001
epoch 25, train loss 0.9481, test loss 1.048, test acc 0.9092, lr 0.001
epoch 26, train loss 0.9441, test loss 1.043, test acc 0.909, lr 0.001
epoch 27, train loss 0.9386, test loss 1.041, test acc 0.9106, lr 0.001
epoch 28, train loss 0.9336, test loss 1.043, test acc 0.9092, lr 0.001
epoch 29, train loss 0.9314, test loss 1.04, test acc 0.9117, lr 0.001
epoch 30, train loss 0.9257, test loss 1.056, test acc 0.9066, lr 0.001
epoch 31, train loss 0.9208, test loss 1.044, test acc 0.9094, lr 0.001
epoch 32, train loss 0.9182, test loss 1.049, test acc 0.9109, lr 0.001
epoch 33, train loss 0.9163, test loss 1.046, test acc 0.9107, lr 0.001
epoch 34, train loss 0.913, test loss 1.047, test acc 0.91, lr 0.001
epoch 35, train loss 0.9114, test loss 1.041, test acc 0.9145, lr 0.001
epoch 36, train loss 0.9123, test loss 1.034, test acc 0.914, lr 0.001
epoch 37, train loss 0.9068, test loss 1.04, test acc 0.9126, lr 0.001
epoch 38, train loss 0.9054, test loss 1.036, test acc 0.9169, lr 0.001
epoch 39, train loss 0.9036, test loss 1.033, test acc 0.9176, lr 0.001
epoch 40, train loss 0.9023, test loss 1.039, test acc 0.9146, lr 0.001
epoch 41, train loss 0.9019, test loss 1.046, test acc 0.911, lr 0.001
epoch 42, train loss 0.8996, test loss 1.044, test acc 0.9154, lr 0.001
epoch 43, train loss 0.8986, test loss 1.046, test acc 0.9134, lr 0.001
epoch 44, train loss 0.8969, test loss 1.04, test acc 0.9174, lr 0.001
epoch 45, train loss 0.8963, test loss 1.046, test acc 0.9105, lr 0.001
epoch 46, train loss 0.8926, test loss 1.034, test acc 0.9168, lr 0.001
epoch 47, train loss 0.8928, test loss 1.046, test acc 0.9157, lr 0.001
epoch 48, train loss 0.891, test loss 1.036, test acc 0.9189, lr 0.001
epoch 49, train loss 0.8909, test loss 1.039, test acc 0.917, lr 0.001
epoch 50, train loss 0.8908, test loss 1.037, test acc 0.9165, lr 0.001
