epoch 1, train loss 1.742, test loss 1.553, test acc 0.6255, lr 0.001
epoch 2, train loss 1.423, test loss 1.384, test acc 0.7256, lr 0.001
epoch 3, train loss 1.287, test loss 1.275, test acc 0.7869, lr 0.001
epoch 4, train loss 1.202, test loss 1.23, test acc 0.8124, lr 0.001
epoch 5, train loss 1.142, test loss 1.197, test acc 0.826, lr 0.001
epoch 6, train loss 1.092, test loss 1.172, test acc 0.8417, lr 0.001
epoch 7, train loss 1.049, test loss 1.16, test acc 0.8451, lr 0.001
epoch 8, train loss 1.008, test loss 1.153, test acc 0.8518, lr 0.001
epoch 9, train loss 0.976, test loss 1.148, test acc 0.8535, lr 0.001
epoch 10, train loss 0.9465, test loss 1.147, test acc 0.8571, lr 0.001
epoch 11, train loss 0.9265, test loss 1.147, test acc 0.8582, lr 0.001
epoch 12, train loss 0.911, test loss 1.141, test acc 0.8629, lr 0.001
epoch 13, train loss 0.9017, test loss 1.146, test acc 0.8597, lr 0.001
epoch 14, train loss 0.891, test loss 1.142, test acc 0.8653, lr 0.001
epoch 15, train loss 0.886, test loss 1.137, test acc 0.8689, lr 0.001
epoch 16, train loss 0.8787, test loss 1.129, test acc 0.8702, lr 0.001
epoch 17, train loss 0.8746, test loss 1.133, test acc 0.8693, lr 0.001
epoch 18, train loss 0.8715, test loss 1.112, test acc 0.8788, lr 0.001
epoch 19, train loss 0.8699, test loss 1.111, test acc 0.8825, lr 0.001
epoch 20, train loss 0.8691, test loss 1.106, test acc 0.8819, lr 0.001
epoch 21, train loss 0.8687, test loss 1.107, test acc 0.8835, lr 0.001
epoch 22, train loss 0.8685, test loss 1.107, test acc 0.8835, lr 0.001
epoch 23, train loss 0.8685, test loss 1.107, test acc 0.8836, lr 0.001
epoch 24, train loss 0.8683, test loss 1.108, test acc 0.8812, lr 0.001
epoch 25, train loss 0.8682, test loss 1.107, test acc 0.8828, lr 0.001
epoch 26, train loss 0.8682, test loss 1.106, test acc 0.8831, lr 0.001
epoch 27, train loss 0.868, test loss 1.108, test acc 0.8822, lr 0.001
epoch 28, train loss 0.868, test loss 1.107, test acc 0.8821, lr 0.001
epoch 29, train loss 0.8679, test loss 1.108, test acc 0.884, lr 0.001
epoch 30, train loss 0.8679, test loss 1.108, test acc 0.8829, lr 0.001
epoch 31, train loss 0.8678, test loss 1.109, test acc 0.8824, lr 0.001
epoch 32, train loss 0.8678, test loss 1.107, test acc 0.8832, lr 0.001
epoch 33, train loss 0.8677, test loss 1.109, test acc 0.8814, lr 0.001
epoch 34, train loss 0.8677, test loss 1.108, test acc 0.8831, lr 0.001
epoch 35, train loss 0.8677, test loss 1.107, test acc 0.883, lr 0.001
epoch 36, train loss 0.8677, test loss 1.108, test acc 0.884, lr 0.001
epoch 37, train loss 0.8676, test loss 1.11, test acc 0.8833, lr 0.001
epoch 38, train loss 0.8676, test loss 1.109, test acc 0.8829, lr 0.001
epoch 39, train loss 0.8676, test loss 1.11, test acc 0.8825, lr 0.001
epoch 40, train loss 0.8676, test loss 1.111, test acc 0.8815, lr 0.001
epoch 41, train loss 0.8676, test loss 1.11, test acc 0.8837, lr 0.001
epoch 42, train loss 0.8676, test loss 1.11, test acc 0.8828, lr 0.001
epoch 43, train loss 0.8675, test loss 1.11, test acc 0.8834, lr 0.001
epoch 44, train loss 0.8675, test loss 1.111, test acc 0.8826, lr 0.001
epoch 45, train loss 0.8675, test loss 1.11, test acc 0.8836, lr 0.001
epoch 46, train loss 0.8675, test loss 1.111, test acc 0.882, lr 0.001
epoch 47, train loss 0.8674, test loss 1.111, test acc 0.882, lr 0.001
epoch 48, train loss 0.8674, test loss 1.111, test acc 0.8821, lr 0.001
epoch 49, train loss 0.8674, test loss 1.11, test acc 0.8825, lr 0.001
epoch 50, train loss 0.8674, test loss 1.111, test acc 0.8821, lr 0.001

main uses: 3041.5073s
