epoch 1, train loss 1.441, test loss 1.099, test acc 0.5978, lr 0.001
epoch 2, train loss 0.9951, test loss 0.8707, test acc 0.6878, lr 0.001
epoch 3, train loss 0.8115, test loss 0.7453, test acc 0.7407, lr 0.001
epoch 4, train loss 0.6855, test loss 0.6307, test acc 0.7849, lr 0.001
epoch 5, train loss 0.5923, test loss 0.5831, test acc 0.8012, lr 0.001
epoch 6, train loss 0.5262, test loss 0.535, test acc 0.8161, lr 0.001
epoch 7, train loss 0.4672, test loss 0.5054, test acc 0.8253, lr 0.001
epoch 8, train loss 0.4235, test loss 0.4652, test acc 0.8462, lr 0.001
epoch 9, train loss 0.3908, test loss 0.4327, test acc 0.8514, lr 0.001
epoch 10, train loss 0.3607, test loss 0.416, test acc 0.8622, lr 0.001
epoch 11, train loss 0.3314, test loss 0.4016, test acc 0.8656, lr 0.001
epoch 12, train loss 0.309, test loss 0.3969, test acc 0.8681, lr 0.001
epoch 13, train loss 0.284, test loss 0.3676, test acc 0.8792, lr 0.001
epoch 14, train loss 0.2663, test loss 0.3727, test acc 0.8724, lr 0.001
epoch 15, train loss 0.2528, test loss 0.3576, test acc 0.88, lr 0.001
epoch 16, train loss 0.2333, test loss 0.3727, test acc 0.8776, lr 0.001
epoch 17, train loss 0.2177, test loss 0.341, test acc 0.8877, lr 0.001
epoch 18, train loss 0.2065, test loss 0.333, test acc 0.8925, lr 0.001
epoch 19, train loss 0.1954, test loss 0.3241, test acc 0.8932, lr 0.001
epoch 20, train loss 0.1812, test loss 0.3323, test acc 0.8938, lr 0.001
epoch 21, train loss 0.1691, test loss 0.3451, test acc 0.8914, lr 0.001
epoch 22, train loss 0.1553, test loss 0.3397, test acc 0.8965, lr 0.001
epoch 23, train loss 0.1507, test loss 0.3477, test acc 0.896, lr 0.001
epoch 24, train loss 0.1427, test loss 0.3188, test acc 0.9023, lr 0.001
epoch 25, train loss 0.1319, test loss 0.3352, test acc 0.898, lr 0.001
epoch 26, train loss 0.1308, test loss 0.3391, test acc 0.8992, lr 0.001
epoch 27, train loss 0.121, test loss 0.3345, test acc 0.9026, lr 0.001
epoch 28, train loss 0.1145, test loss 0.3314, test acc 0.9029, lr 0.001
epoch 29, train loss 0.1028, test loss 0.32, test acc 0.9082, lr 0.001
epoch 30, train loss 0.1013, test loss 0.3325, test acc 0.9057, lr 0.001
epoch 31, train loss 0.09309, test loss 0.3314, test acc 0.906, lr 0.001
epoch 32, train loss 0.09171, test loss 0.3369, test acc 0.9039, lr 0.001
epoch 33, train loss 0.08742, test loss 0.3215, test acc 0.9098, lr 0.001
epoch 34, train loss 0.08324, test loss 0.3324, test acc 0.9083, lr 0.001
epoch 35, train loss 0.07771, test loss 0.3187, test acc 0.9112, lr 0.001
epoch 36, train loss 0.06918, test loss 0.3103, test acc 0.9131, lr 0.001
epoch 37, train loss 0.06902, test loss 0.3312, test acc 0.9096, lr 0.001
epoch 38, train loss 0.06382, test loss 0.3514, test acc 0.9077, lr 0.001
epoch 39, train loss 0.06312, test loss 0.3393, test acc 0.9117, lr 0.001
epoch 40, train loss 0.06036, test loss 0.3532, test acc 0.9075, lr 0.001
epoch 41, train loss 0.05505, test loss 0.3232, test acc 0.9166, lr 0.001
epoch 42, train loss 0.05669, test loss 0.3343, test acc 0.9129, lr 0.001
epoch 43, train loss 0.05442, test loss 0.3637, test acc 0.9121, lr 0.001
epoch 44, train loss 0.0542, test loss 0.3704, test acc 0.9092, lr 0.001
epoch 45, train loss 0.04802, test loss 0.3383, test acc 0.9118, lr 0.001
epoch 46, train loss 0.04692, test loss 0.3666, test acc 0.9102, lr 0.001
epoch 47, train loss 0.04697, test loss 0.3429, test acc 0.9148, lr 0.001
epoch 48, train loss 0.04322, test loss 0.3625, test acc 0.9103, lr 0.001
epoch 49, train loss 0.04074, test loss 0.3556, test acc 0.9159, lr 0.001
epoch 50, train loss 0.03778, test loss 0.3688, test acc 0.9115, lr 0.001
