epoch 1, train loss 1.898, test loss 1.727, test acc 0.5091, lr 0.001
epoch 2, train loss 1.654, test loss 1.623, test acc 0.5811, lr 0.001
epoch 3, train loss 1.543, test loss 1.53, test acc 0.6343, lr 0.001
epoch 4, train loss 1.473, test loss 1.456, test acc 0.6865, lr 0.001
epoch 5, train loss 1.412, test loss 1.405, test acc 0.7152, lr 0.001
epoch 6, train loss 1.361, test loss 1.36, test acc 0.7439, lr 0.001
epoch 7, train loss 1.317, test loss 1.322, test acc 0.7638, lr 0.001
epoch 8, train loss 1.284, test loss 1.306, test acc 0.7722, lr 0.001
epoch 9, train loss 1.256, test loss 1.266, test acc 0.7965, lr 0.001
epoch 10, train loss 1.23, test loss 1.244, test acc 0.8064, lr 0.001
epoch 11, train loss 1.208, test loss 1.233, test acc 0.815, lr 0.001
epoch 12, train loss 1.192, test loss 1.217, test acc 0.8202, lr 0.001
epoch 13, train loss 1.176, test loss 1.219, test acc 0.8198, lr 0.001
epoch 14, train loss 1.159, test loss 1.183, test acc 0.8375, lr 0.001
epoch 15, train loss 1.148, test loss 1.17, test acc 0.8453, lr 0.001
epoch 16, train loss 1.135, test loss 1.174, test acc 0.8434, lr 0.001
epoch 17, train loss 1.123, test loss 1.165, test acc 0.8438, lr 0.001
epoch 18, train loss 1.114, test loss 1.156, test acc 0.8525, lr 0.001
epoch 19, train loss 1.101, test loss 1.153, test acc 0.8515, lr 0.001
epoch 20, train loss 1.094, test loss 1.153, test acc 0.8526, lr 0.001
epoch 21, train loss 1.087, test loss 1.139, test acc 0.8611, lr 0.001
epoch 22, train loss 1.081, test loss 1.125, test acc 0.866, lr 0.001
epoch 23, train loss 1.074, test loss 1.113, test acc 0.874, lr 0.001
epoch 24, train loss 1.065, test loss 1.124, test acc 0.8667, lr 0.001
epoch 25, train loss 1.06, test loss 1.124, test acc 0.8668, lr 0.001
epoch 26, train loss 1.057, test loss 1.109, test acc 0.8737, lr 0.001
epoch 27, train loss 1.051, test loss 1.104, test acc 0.8791, lr 0.001
epoch 28, train loss 1.049, test loss 1.098, test acc 0.8801, lr 0.001
epoch 29, train loss 1.043, test loss 1.102, test acc 0.8776, lr 0.001
epoch 30, train loss 1.039, test loss 1.102, test acc 0.8785, lr 0.001
epoch 31, train loss 1.035, test loss 1.096, test acc 0.8818, lr 0.001
epoch 32, train loss 1.031, test loss 1.086, test acc 0.8879, lr 0.001
epoch 33, train loss 1.032, test loss 1.087, test acc 0.8878, lr 0.001
epoch 34, train loss 1.025, test loss 1.09, test acc 0.8855, lr 0.001
epoch 35, train loss 1.023, test loss 1.09, test acc 0.8835, lr 0.001
epoch 36, train loss 1.019, test loss 1.086, test acc 0.8877, lr 0.001
epoch 37, train loss 1.016, test loss 1.075, test acc 0.8915, lr 0.001
epoch 38, train loss 1.014, test loss 1.069, test acc 0.8922, lr 0.001
epoch 39, train loss 1.012, test loss 1.078, test acc 0.8945, lr 0.001
epoch 40, train loss 1.01, test loss 1.067, test acc 0.8958, lr 0.001
epoch 41, train loss 1.009, test loss 1.083, test acc 0.8858, lr 0.001
epoch 42, train loss 1.005, test loss 1.078, test acc 0.8915, lr 0.001
epoch 43, train loss 1.002, test loss 1.089, test acc 0.8843, lr 0.001
epoch 44, train loss 0.9996, test loss 1.066, test acc 0.8961, lr 0.001
epoch 45, train loss 1.002, test loss 1.059, test acc 0.8998, lr 0.001
epoch 46, train loss 0.9959, test loss 1.061, test acc 0.8981, lr 0.001
epoch 47, train loss 0.9952, test loss 1.056, test acc 0.9037, lr 0.001
epoch 48, train loss 0.9942, test loss 1.062, test acc 0.8967, lr 0.001
epoch 49, train loss 0.9888, test loss 1.065, test acc 0.8975, lr 0.001
epoch 50, train loss 0.9912, test loss 1.063, test acc 0.8996, lr 0.001
