epoch 1, train loss 1.745, test loss 1.521, test acc 0.6328
epoch 2, train loss 1.462, test loss 1.386, test acc 0.7202
epoch 3, train loss 1.344, test loss 1.293, test acc 0.7743
epoch 4, train loss 1.274, test loss 1.263, test acc 0.7887
epoch 5, train loss 1.23, test loss 1.229, test acc 0.811
epoch 6, train loss 1.199, test loss 1.195, test acc 0.8235
epoch 7, train loss 1.168, test loss 1.177, test acc 0.8352
epoch 8, train loss 1.147, test loss 1.159, test acc 0.8455
epoch 9, train loss 1.125, test loss 1.149, test acc 0.8492
epoch 10, train loss 1.107, test loss 1.133, test acc 0.8576
epoch 11, train loss 1.092, test loss 1.13, test acc 0.8593
epoch 12, train loss 1.08, test loss 1.128, test acc 0.8641
epoch 13, train loss 1.068, test loss 1.107, test acc 0.8726
epoch 14, train loss 1.059, test loss 1.1, test acc 0.8773
epoch 15, train loss 1.046, test loss 1.098, test acc 0.8776
epoch 16, train loss 1.039, test loss 1.089, test acc 0.8816
epoch 17, train loss 1.029, test loss 1.092, test acc 0.8807
epoch 18, train loss 1.022, test loss 1.085, test acc 0.8852
epoch 19, train loss 1.016, test loss 1.088, test acc 0.8804
epoch 20, train loss 1.009, test loss 1.083, test acc 0.8861
epoch 21, train loss 0.9998, test loss 1.077, test acc 0.8895
epoch 22, train loss 0.9952, test loss 1.07, test acc 0.894
epoch 23, train loss 0.9897, test loss 1.07, test acc 0.8923
epoch 24, train loss 0.9829, test loss 1.076, test acc 0.8897
epoch 25, train loss 0.9807, test loss 1.069, test acc 0.8952
epoch 26, train loss 0.9763, test loss 1.068, test acc 0.895
epoch 27, train loss 0.9707, test loss 1.073, test acc 0.8935
epoch 28, train loss 0.9681, test loss 1.076, test acc 0.891
epoch 29, train loss 0.9642, test loss 1.078, test acc 0.89
epoch 30, train loss 0.9584, test loss 1.064, test acc 0.8984
epoch 31, train loss 0.959, test loss 1.06, test acc 0.897
epoch 32, train loss 0.9527, test loss 1.056, test acc 0.9026
epoch 33, train loss 0.9492, test loss 1.065, test acc 0.8985
epoch 34, train loss 0.9485, test loss 1.059, test acc 0.9023
epoch 35, train loss 0.9435, test loss 1.068, test acc 0.8979
epoch 36, train loss 0.9414, test loss 1.066, test acc 0.8989
epoch 37, train loss 0.9382, test loss 1.066, test acc 0.8996
epoch 38, train loss 0.9348, test loss 1.058, test acc 0.9013
epoch 39, train loss 0.9296, test loss 1.056, test acc 0.9016
epoch 40, train loss 0.9303, test loss 1.063, test acc 0.9022
epoch 41, train loss 0.9303, test loss 1.057, test acc 0.9029
epoch 42, train loss 0.9251, test loss 1.051, test acc 0.9059
epoch 43, train loss 0.924, test loss 1.059, test acc 0.905
epoch 44, train loss 0.9219, test loss 1.058, test acc 0.9049
epoch 45, train loss 0.9196, test loss 1.056, test acc 0.9045
epoch 46, train loss 0.919, test loss 1.06, test acc 0.9026
epoch 47, train loss 0.9174, test loss 1.055, test acc 0.9039
epoch 48, train loss 0.9166, test loss 1.06, test acc 0.9031
epoch 49, train loss 0.9153, test loss 1.054, test acc 0.9048
epoch 50, train loss 0.9143, test loss 1.051, test acc 0.907
epoch 51, train loss 0.9097, test loss 1.051, test acc 0.9081
epoch 52, train loss 0.9104, test loss 1.051, test acc 0.9074
epoch 53, train loss 0.9086, test loss 1.054, test acc 0.9052
epoch 54, train loss 0.9066, test loss 1.059, test acc 0.9008
epoch 55, train loss 0.9074, test loss 1.054, test acc 0.9066
epoch 56, train loss 0.9051, test loss 1.058, test acc 0.9032
epoch 57, train loss 0.9044, test loss 1.049, test acc 0.9092
epoch 58, train loss 0.9057, test loss 1.062, test acc 0.9041
epoch 59, train loss 0.906, test loss 1.064, test acc 0.9022
epoch 60, train loss 0.9037, test loss 1.055, test acc 0.9069
epoch 61, train loss 0.9024, test loss 1.047, test acc 0.9079
epoch 62, train loss 0.8999, test loss 1.047, test acc 0.9092
epoch 63, train loss 0.9005, test loss 1.062, test acc 0.9027
epoch 64, train loss 0.8971, test loss 1.051, test acc 0.9089
epoch 65, train loss 0.8963, test loss 1.055, test acc 0.907
epoch 66, train loss 0.8985, test loss 1.047, test acc 0.9117
epoch 67, train loss 0.8955, test loss 1.052, test acc 0.9081
epoch 68, train loss 0.8936, test loss 1.057, test acc 0.9061
epoch 69, train loss 0.8945, test loss 1.05, test acc 0.9081
epoch 70, train loss 0.8942, test loss 1.048, test acc 0.9137
epoch 71, train loss 0.8938, test loss 1.043, test acc 0.9126
epoch 72, train loss 0.8938, test loss 1.047, test acc 0.9118
epoch 73, train loss 0.893, test loss 1.045, test acc 0.9117
epoch 74, train loss 0.8918, test loss 1.056, test acc 0.9081
epoch 75, train loss 0.8931, test loss 1.061, test acc 0.9046
epoch 76, train loss 0.8905, test loss 1.052, test acc 0.9076
epoch 77, train loss 0.8891, test loss 1.048, test acc 0.912
epoch 78, train loss 0.8901, test loss 1.06, test acc 0.9074
epoch 79, train loss 0.889, test loss 1.058, test acc 0.9088
epoch 80, train loss 0.8908, test loss 1.05, test acc 0.9139
epoch 81, train loss 0.8892, test loss 1.054, test acc 0.9105
epoch 82, train loss 0.8867, test loss 1.058, test acc 0.9093
epoch 83, train loss 0.8875, test loss 1.06, test acc 0.9059
epoch 84, train loss 0.8872, test loss 1.051, test acc 0.9111
epoch 85, train loss 0.8876, test loss 1.048, test acc 0.9108
epoch 86, train loss 0.8876, test loss 1.052, test acc 0.9121
epoch 87, train loss 0.8861, test loss 1.046, test acc 0.9124
epoch 88, train loss 0.8866, test loss 1.048, test acc 0.9138
epoch 89, train loss 0.8866, test loss 1.058, test acc 0.9094
epoch 90, train loss 0.8852, test loss 1.051, test acc 0.91
epoch 91, train loss 0.8846, test loss 1.057, test acc 0.9095
epoch 92, train loss 0.8838, test loss 1.051, test acc 0.9131
epoch 93, train loss 0.8841, test loss 1.053, test acc 0.9102
epoch 94, train loss 0.8847, test loss 1.055, test acc 0.9086
