epoch 1, train loss 1.719, test loss 1.507, test acc 0.6466, lr 0.001
epoch 2, train loss 1.435, test loss 1.356, test acc 0.7371, lr 0.001
epoch 3, train loss 1.33, test loss 1.296, test acc 0.7697, lr 0.001
epoch 4, train loss 1.266, test loss 1.245, test acc 0.7991, lr 0.001
epoch 5, train loss 1.223, test loss 1.21, test acc 0.8173, lr 0.001
epoch 6, train loss 1.188, test loss 1.199, test acc 0.8235, lr 0.001
epoch 7, train loss 1.161, test loss 1.173, test acc 0.8387, lr 0.001
epoch 8, train loss 1.142, test loss 1.151, test acc 0.8513, lr 0.001
epoch 9, train loss 1.121, test loss 1.151, test acc 0.8518, lr 0.001
epoch 10, train loss 1.105, test loss 1.128, test acc 0.8638, lr 0.001
epoch 11, train loss 1.089, test loss 1.115, test acc 0.8681, lr 0.001
epoch 12, train loss 1.075, test loss 1.116, test acc 0.868, lr 0.001
epoch 13, train loss 1.065, test loss 1.103, test acc 0.8761, lr 0.001
epoch 14, train loss 1.055, test loss 1.095, test acc 0.8794, lr 0.001
epoch 15, train loss 1.046, test loss 1.098, test acc 0.8784, lr 0.001
epoch 16, train loss 1.035, test loss 1.093, test acc 0.8805, lr 0.001
epoch 17, train loss 1.028, test loss 1.09, test acc 0.8847, lr 0.001
epoch 18, train loss 1.018, test loss 1.09, test acc 0.8837, lr 0.001
epoch 19, train loss 1.012, test loss 1.076, test acc 0.8886, lr 0.001
epoch 20, train loss 1.007, test loss 1.085, test acc 0.8873, lr 0.001
epoch 21, train loss 0.9979, test loss 1.077, test acc 0.8913, lr 0.001
epoch 22, train loss 0.9942, test loss 1.074, test acc 0.8912, lr 0.001
epoch 23, train loss 0.9885, test loss 1.081, test acc 0.8888, lr 0.001
epoch 24, train loss 0.9836, test loss 1.074, test acc 0.8936, lr 0.001
epoch 25, train loss 0.9797, test loss 1.077, test acc 0.8903, lr 0.001
epoch 26, train loss 0.9745, test loss 1.073, test acc 0.8944, lr 0.001
epoch 27, train loss 0.9714, test loss 1.064, test acc 0.8989, lr 0.001
epoch 28, train loss 0.9677, test loss 1.072, test acc 0.8948, lr 0.001
epoch 29, train loss 0.9624, test loss 1.075, test acc 0.8947, lr 0.001
epoch 30, train loss 0.9584, test loss 1.065, test acc 0.8987, lr 0.001
epoch 31, train loss 0.9569, test loss 1.064, test acc 0.8998, lr 0.001
epoch 32, train loss 0.952, test loss 1.063, test acc 0.8995, lr 0.001
epoch 33, train loss 0.949, test loss 1.06, test acc 0.9011, lr 0.001
epoch 34, train loss 0.9441, test loss 1.057, test acc 0.9036, lr 0.001
epoch 35, train loss 0.9426, test loss 1.058, test acc 0.9029, lr 0.001
epoch 36, train loss 0.9413, test loss 1.058, test acc 0.9031, lr 0.001
epoch 37, train loss 0.9408, test loss 1.059, test acc 0.9029, lr 0.001
epoch 38, train loss 0.9358, test loss 1.063, test acc 0.9015, lr 0.001
epoch 39, train loss 0.9317, test loss 1.057, test acc 0.9044, lr 0.001
epoch 40, train loss 0.93, test loss 1.063, test acc 0.9024, lr 0.001
epoch 41, train loss 0.9281, test loss 1.061, test acc 0.9011, lr 0.001
epoch 42, train loss 0.9236, test loss 1.063, test acc 0.9015, lr 0.001
epoch 43, train loss 0.9244, test loss 1.06, test acc 0.9048, lr 0.001
epoch 44, train loss 0.9227, test loss 1.065, test acc 0.9006, lr 0.001
epoch 45, train loss 0.9219, test loss 1.058, test acc 0.9074, lr 0.001
epoch 46, train loss 0.9184, test loss 1.059, test acc 0.9048, lr 0.001
epoch 47, train loss 0.9176, test loss 1.054, test acc 0.9072, lr 0.001
epoch 48, train loss 0.9136, test loss 1.06, test acc 0.9057, lr 0.001
epoch 49, train loss 0.9158, test loss 1.052, test acc 0.9088, lr 0.001
epoch 50, train loss 0.9127, test loss 1.05, test acc 0.911, lr 0.001
epoch 51, train loss 0.9123, test loss 1.054, test acc 0.9063, lr 0.001
epoch 52, train loss 0.9094, test loss 1.057, test acc 0.9059, lr 0.001
epoch 53, train loss 0.9115, test loss 1.052, test acc 0.9096, lr 0.001
epoch 54, train loss 0.908, test loss 1.066, test acc 0.905, lr 0.001
epoch 55, train loss 0.9071, test loss 1.047, test acc 0.9109, lr 0.001
epoch 56, train loss 0.9072, test loss 1.05, test acc 0.9075, lr 0.001
epoch 57, train loss 0.9054, test loss 1.056, test acc 0.9072, lr 0.001
epoch 58, train loss 0.9044, test loss 1.061, test acc 0.9035, lr 0.001
epoch 59, train loss 0.9023, test loss 1.055, test acc 0.9082, lr 0.001
epoch 60, train loss 0.9014, test loss 1.054, test acc 0.908, lr 0.001
epoch 61, train loss 0.9006, test loss 1.054, test acc 0.9066, lr 0.001
epoch 62, train loss 0.8898, test loss 1.037, test acc 0.9169, lr 0.0001
epoch 63, train loss 0.8855, test loss 1.036, test acc 0.9176, lr 0.0001
epoch 64, train loss 0.8844, test loss 1.036, test acc 0.9176, lr 0.0001
epoch 65, train loss 0.8826, test loss 1.036, test acc 0.9181, lr 0.0001
epoch 66, train loss 0.8817, test loss 1.036, test acc 0.9188, lr 0.0001
epoch 67, train loss 0.8812, test loss 1.037, test acc 0.918, lr 0.0001
epoch 68, train loss 0.8805, test loss 1.036, test acc 0.9188, lr 0.0001
epoch 69, train loss 0.8805, test loss 1.036, test acc 0.9186, lr 0.0001
epoch 70, train loss 0.8799, test loss 1.036, test acc 0.9187, lr 0.0001
epoch 71, train loss 0.8794, test loss 1.036, test acc 0.9187, lr 0.0001
epoch 72, train loss 0.879, test loss 1.037, test acc 0.919, lr 0.0001
epoch 73, train loss 0.879, test loss 1.036, test acc 0.9182, lr 0.0001
epoch 74, train loss 0.8788, test loss 1.036, test acc 0.9183, lr 0.0001
epoch 75, train loss 0.8783, test loss 1.035, test acc 0.9176, lr 0.0001
epoch 76, train loss 0.8786, test loss 1.036, test acc 0.9186, lr 0.0001
epoch 77, train loss 0.8773, test loss 1.036, test acc 0.9191, lr 1e-05
epoch 78, train loss 0.8775, test loss 1.036, test acc 0.9189, lr 1e-05
epoch 79, train loss 0.8778, test loss 1.036, test acc 0.9193, lr 1e-05
epoch 80, train loss 0.8781, test loss 1.036, test acc 0.9194, lr 1e-05
epoch 81, train loss 0.8769, test loss 1.036, test acc 0.9193, lr 1e-05
epoch 82, train loss 0.8776, test loss 1.036, test acc 0.9192, lr 1e-05
epoch 83, train loss 0.8771, test loss 1.036, test acc 0.9195, lr 1e-05
epoch 84, train loss 0.8771, test loss 1.036, test acc 0.9196, lr 1e-05
epoch 85, train loss 0.8776, test loss 1.036, test acc 0.9192, lr 1e-05
epoch 86, train loss 0.8771, test loss 1.036, test acc 0.9197, lr 1e-05
epoch 87, train loss 0.8766, test loss 1.036, test acc 0.9193, lr 1e-05
