Namespace(batch_size=128, channel=32, crop=(32, 4), cuda=True, cutout=(1, 4), epoch=400, factor=0.5, flip=0.5, label_smoothing=0.2, learning_rate=0.001, optimzer='adamw', patience=40, progress_bar=False, resnet=(2, 2, 2, 2), scheduler='plateau', test=False, threshold=0.01)
trainable parameters: 2797610
epoch 1, train loss 1.733, test loss 1.522, test acc 0.6346, lr 0.001
epoch 2, train loss 1.454, test loss 1.377, test acc 0.7216, lr 0.001
epoch 3, train loss 1.33, test loss 1.313, test acc 0.7629, lr 0.001
epoch 4, train loss 1.261, test loss 1.258, test acc 0.7918, lr 0.001
epoch 5, train loss 1.22, test loss 1.209, test acc 0.8178, lr 0.001
epoch 6, train loss 1.187, test loss 1.19, test acc 0.8254, lr 0.001
epoch 7, train loss 1.16, test loss 1.16, test acc 0.8439, lr 0.001
epoch 8, train loss 1.135, test loss 1.158, test acc 0.846, lr 0.001
epoch 9, train loss 1.118, test loss 1.165, test acc 0.8433, lr 0.001
epoch 10, train loss 1.101, test loss 1.129, test acc 0.861, lr 0.001
epoch 11, train loss 1.083, test loss 1.116, test acc 0.8683, lr 0.001
epoch 12, train loss 1.073, test loss 1.109, test acc 0.8688, lr 0.001
epoch 13, train loss 1.062, test loss 1.104, test acc 0.8715, lr 0.001
epoch 14, train loss 1.051, test loss 1.1, test acc 0.8741, lr 0.001
epoch 15, train loss 1.045, test loss 1.097, test acc 0.8788, lr 0.001
epoch 16, train loss 1.034, test loss 1.087, test acc 0.8834, lr 0.001
epoch 17, train loss 1.023, test loss 1.103, test acc 0.8771, lr 0.001
epoch 18, train loss 1.018, test loss 1.096, test acc 0.8805, lr 0.001
epoch 19, train loss 1.013, test loss 1.086, test acc 0.8841, lr 0.001
epoch 20, train loss 1.005, test loss 1.071, test acc 0.8928, lr 0.001
epoch 21, train loss 0.9989, test loss 1.079, test acc 0.8885, lr 0.001
epoch 22, train loss 0.9955, test loss 1.075, test acc 0.89, lr 0.001
epoch 23, train loss 0.9871, test loss 1.072, test acc 0.8917, lr 0.001
epoch 24, train loss 0.9817, test loss 1.077, test acc 0.89, lr 0.001
epoch 25, train loss 0.9776, test loss 1.071, test acc 0.8938, lr 0.001
epoch 26, train loss 0.9738, test loss 1.071, test acc 0.8964, lr 0.001
epoch 27, train loss 0.9689, test loss 1.069, test acc 0.8945, lr 0.001
epoch 28, train loss 0.9657, test loss 1.059, test acc 0.8982, lr 0.001
epoch 29, train loss 0.9602, test loss 1.059, test acc 0.8997, lr 0.001
epoch 30, train loss 0.9546, test loss 1.067, test acc 0.8978, lr 0.001
epoch 31, train loss 0.9565, test loss 1.059, test acc 0.9004, lr 0.001
epoch 32, train loss 0.9511, test loss 1.068, test acc 0.8966, lr 0.001
epoch 33, train loss 0.945, test loss 1.063, test acc 0.8983, lr 0.001
epoch 34, train loss 0.945, test loss 1.059, test acc 0.8999, lr 0.001
epoch 35, train loss 0.9423, test loss 1.058, test acc 0.9008, lr 0.001
epoch 36, train loss 0.9377, test loss 1.058, test acc 0.9006, lr 0.001
epoch 37, train loss 0.9373, test loss 1.062, test acc 0.8994, lr 0.001
epoch 38, train loss 0.9359, test loss 1.062, test acc 0.8992, lr 0.001
epoch 39, train loss 0.9316, test loss 1.064, test acc 0.901, lr 0.001
epoch 40, train loss 0.9305, test loss 1.059, test acc 0.9013, lr 0.001
epoch 41, train loss 0.9277, test loss 1.062, test acc 0.901, lr 0.001
epoch 42, train loss 0.9253, test loss 1.061, test acc 0.9025, lr 0.001
epoch 43, train loss 0.9236, test loss 1.051, test acc 0.9075, lr 0.001
epoch 44, train loss 0.9219, test loss 1.06, test acc 0.9042, lr 0.001
epoch 45, train loss 0.9183, test loss 1.063, test acc 0.9007, lr 0.001
epoch 46, train loss 0.9179, test loss 1.063, test acc 0.9004, lr 0.001
epoch 47, train loss 0.9167, test loss 1.057, test acc 0.9035, lr 0.001
epoch 48, train loss 0.9185, test loss 1.057, test acc 0.9034, lr 0.001
epoch 49, train loss 0.9149, test loss 1.059, test acc 0.9042, lr 0.001
epoch 50, train loss 0.914, test loss 1.052, test acc 0.9072, lr 0.001
epoch 51, train loss 0.9128, test loss 1.063, test acc 0.9031, lr 0.001
epoch 52, train loss 0.9121, test loss 1.059, test acc 0.904, lr 0.001
epoch 53, train loss 0.9107, test loss 1.056, test acc 0.9054, lr 0.001
epoch 54, train loss 0.9104, test loss 1.055, test acc 0.9059, lr 0.001
epoch 55, train loss 0.9072, test loss 1.056, test acc 0.9069, lr 0.001
epoch 56, train loss 0.9052, test loss 1.062, test acc 0.9048, lr 0.001
epoch 57, train loss 0.9041, test loss 1.058, test acc 0.9052, lr 0.001
epoch 58, train loss 0.9058, test loss 1.06, test acc 0.902, lr 0.001
epoch 59, train loss 0.9021, test loss 1.052, test acc 0.9098, lr 0.001
epoch 60, train loss 0.9036, test loss 1.053, test acc 0.909, lr 0.001
epoch 61, train loss 0.9044, test loss 1.058, test acc 0.905, lr 0.001
epoch 62, train loss 0.9017, test loss 1.065, test acc 0.9029, lr 0.001
epoch 63, train loss 0.8994, test loss 1.059, test acc 0.9027, lr 0.001
epoch 64, train loss 0.9014, test loss 1.064, test acc 0.9031, lr 0.001
epoch 65, train loss 0.8979, test loss 1.056, test acc 0.9039, lr 0.001
