Namespace(batch_size=128, channel=32, crop=(32, 4), cuda=True, cutout=(1, 4), epoch=400, factor=0.7, flip=0.5, label_smoothing=0.2, learning_rate=0.001, lr_limit=0.0001, optimzer='adamw', patience=50, plot=False, progress_bar=False, resnet=(2, 2, 2, 2), scheduler='plateau', test=False, threshold=0.01)
trainable parameters: 2797610
epoch 1, train loss 1.757, test loss 1.562, test acc 0.6082, lr 0.001
epoch 2, train loss 1.473, test loss 1.417, test acc 0.7039, lr 0.001
epoch 3, train loss 1.348, test loss 1.297, test acc 0.7694, lr 0.001
epoch 4, train loss 1.272, test loss 1.263, test acc 0.7887, lr 0.001
epoch 5, train loss 1.224, test loss 1.227, test acc 0.809, lr 0.001
epoch 6, train loss 1.192, test loss 1.192, test acc 0.8284, lr 0.001
epoch 7, train loss 1.163, test loss 1.173, test acc 0.8359, lr 0.001
epoch 8, train loss 1.142, test loss 1.153, test acc 0.8491, lr 0.001
epoch 9, train loss 1.121, test loss 1.138, test acc 0.856, lr 0.001
epoch 10, train loss 1.107, test loss 1.132, test acc 0.8572, lr 0.001
epoch 11, train loss 1.091, test loss 1.129, test acc 0.8582, lr 0.001
epoch 12, train loss 1.079, test loss 1.122, test acc 0.8629, lr 0.001
epoch 13, train loss 1.065, test loss 1.119, test acc 0.8654, lr 0.001
epoch 14, train loss 1.057, test loss 1.106, test acc 0.8718, lr 0.001
epoch 15, train loss 1.049, test loss 1.098, test acc 0.8782, lr 0.001
epoch 16, train loss 1.037, test loss 1.094, test acc 0.8814, lr 0.001
epoch 17, train loss 1.028, test loss 1.1, test acc 0.8795, lr 0.001
epoch 18, train loss 1.02, test loss 1.087, test acc 0.8814, lr 0.001
epoch 19, train loss 1.015, test loss 1.086, test acc 0.8835, lr 0.001
epoch 20, train loss 1.006, test loss 1.076, test acc 0.8881, lr 0.001
epoch 21, train loss 0.9995, test loss 1.077, test acc 0.8914, lr 0.001
epoch 22, train loss 0.9961, test loss 1.077, test acc 0.8947, lr 0.001
epoch 23, train loss 0.9926, test loss 1.08, test acc 0.8892, lr 0.001
epoch 24, train loss 0.986, test loss 1.077, test acc 0.8883, lr 0.001
epoch 25, train loss 0.9811, test loss 1.066, test acc 0.8973, lr 0.001
epoch 26, train loss 0.9763, test loss 1.073, test acc 0.8917, lr 0.001
epoch 27, train loss 0.9723, test loss 1.069, test acc 0.8945, lr 0.001
epoch 28, train loss 0.9682, test loss 1.076, test acc 0.8934, lr 0.001
epoch 29, train loss 0.9627, test loss 1.066, test acc 0.8957, lr 0.001
epoch 30, train loss 0.9606, test loss 1.079, test acc 0.8911, lr 0.001
