Namespace(batch_size=128, channel=32, crop=(32, 4), cuda=True, cutout=(1, 4), epoch=400, factor=0.1, flip=0.5, label_smoothing=0.2, learning_rate=0.001, lr_limit=0.0001, optimzer='adamw', patience=10, plot=False, progress_bar=False, resnet=(2, 2, 2, 2), scheduler='', test=False, threshold=0.01)
trainable parameters: 2797610
epoch 1, train loss 1.755, test loss 1.539, test acc 0.6269, lr 0.001
epoch 2, train loss 1.471, test loss 1.391, test acc 0.7129, lr 0.001
epoch 3, train loss 1.347, test loss 1.327, test acc 0.7561, lr 0.001
epoch 4, train loss 1.279, test loss 1.26, test acc 0.7882, lr 0.001
epoch 5, train loss 1.232, test loss 1.224, test acc 0.808, lr 0.001
epoch 6, train loss 1.195, test loss 1.191, test acc 0.8262, lr 0.001
epoch 7, train loss 1.167, test loss 1.183, test acc 0.8328, lr 0.001
epoch 8, train loss 1.143, test loss 1.167, test acc 0.841, lr 0.001
epoch 9, train loss 1.124, test loss 1.147, test acc 0.8493, lr 0.001
epoch 10, train loss 1.107, test loss 1.132, test acc 0.8599, lr 0.001
epoch 11, train loss 1.092, test loss 1.131, test acc 0.859, lr 0.001
epoch 12, train loss 1.077, test loss 1.116, test acc 0.8673, lr 0.001
epoch 13, train loss 1.067, test loss 1.106, test acc 0.8733, lr 0.001
epoch 14, train loss 1.054, test loss 1.103, test acc 0.8747, lr 0.001
epoch 15, train loss 1.047, test loss 1.104, test acc 0.8747, lr 0.001
epoch 16, train loss 1.035, test loss 1.096, test acc 0.8767, lr 0.001
epoch 17, train loss 1.027, test loss 1.094, test acc 0.8821, lr 0.001
epoch 18, train loss 1.024, test loss 1.087, test acc 0.8817, lr 0.001
epoch 19, train loss 1.015, test loss 1.088, test acc 0.8866, lr 0.001
epoch 20, train loss 1.005, test loss 1.087, test acc 0.8832, lr 0.001
epoch 21, train loss 0.9991, test loss 1.072, test acc 0.8962, lr 0.001
epoch 22, train loss 0.9969, test loss 1.081, test acc 0.8866, lr 0.001
epoch 23, train loss 0.9933, test loss 1.083, test acc 0.8879, lr 0.001
epoch 24, train loss 0.9863, test loss 1.066, test acc 0.8959, lr 0.001
epoch 25, train loss 0.9813, test loss 1.071, test acc 0.8954, lr 0.001
epoch 26, train loss 0.976, test loss 1.069, test acc 0.8948, lr 0.001
epoch 27, train loss 0.9735, test loss 1.066, test acc 0.8968, lr 0.001
epoch 28, train loss 0.9658, test loss 1.071, test acc 0.8955, lr 0.001
epoch 29, train loss 0.9655, test loss 1.069, test acc 0.8957, lr 0.001
epoch 30, train loss 0.9604, test loss 1.059, test acc 0.9001, lr 0.001
epoch 31, train loss 0.9564, test loss 1.073, test acc 0.8953, lr 0.001
epoch 32, train loss 0.9559, test loss 1.075, test acc 0.8944, lr 0.001
epoch 33, train loss 0.9514, test loss 1.064, test acc 0.8984, lr 0.001
epoch 34, train loss 0.9463, test loss 1.067, test acc 0.897, lr 0.001
epoch 35, train loss 0.9469, test loss 1.058, test acc 0.9012, lr 0.001
epoch 36, train loss 0.9425, test loss 1.06, test acc 0.9026, lr 0.001
epoch 37, train loss 0.9389, test loss 1.056, test acc 0.9054, lr 0.001
epoch 38, train loss 0.9386, test loss 1.065, test acc 0.9011, lr 0.001
epoch 39, train loss 0.9352, test loss 1.067, test acc 0.8981, lr 0.001
epoch 40, train loss 0.932, test loss 1.061, test acc 0.9002, lr 0.001
epoch 41, train loss 0.9309, test loss 1.075, test acc 0.8978, lr 0.001
epoch 42, train loss 0.9285, test loss 1.062, test acc 0.9029, lr 0.001
epoch 43, train loss 0.9252, test loss 1.061, test acc 0.9046, lr 0.001
epoch 44, train loss 0.9243, test loss 1.068, test acc 0.8982, lr 0.001
epoch 45, train loss 0.9251, test loss 1.061, test acc 0.9031, lr 0.001
epoch 46, train loss 0.9235, test loss 1.061, test acc 0.9034, lr 0.001
epoch 47, train loss 0.9201, test loss 1.059, test acc 0.9031, lr 0.001
epoch 48, train loss 0.917, test loss 1.063, test acc 0.9003, lr 0.001
epoch 49, train loss 0.9154, test loss 1.061, test acc 0.9009, lr 0.001
epoch 50, train loss 0.915, test loss 1.065, test acc 0.9032, lr 0.001
epoch 51, train loss 0.9174, test loss 1.056, test acc 0.9074, lr 0.001
epoch 52, train loss 0.9129, test loss 1.06, test acc 0.9055, lr 0.001
epoch 53, train loss 0.9109, test loss 1.056, test acc 0.9052, lr 0.001
epoch 54, train loss 0.9131, test loss 1.063, test acc 0.9023, lr 0.001
epoch 55, train loss 0.9079, test loss 1.053, test acc 0.9084, lr 0.001
epoch 56, train loss 0.9099, test loss 1.049, test acc 0.9102, lr 0.001
epoch 57, train loss 0.9084, test loss 1.05, test acc 0.9073, lr 0.001
epoch 58, train loss 0.9071, test loss 1.064, test acc 0.9042, lr 0.001
epoch 59, train loss 0.9046, test loss 1.064, test acc 0.9055, lr 0.001
epoch 60, train loss 0.9034, test loss 1.059, test acc 0.9062, lr 0.001
epoch 61, train loss 0.9049, test loss 1.057, test acc 0.9082, lr 0.001
epoch 62, train loss 0.9025, test loss 1.059, test acc 0.906, lr 0.001
epoch 63, train loss 0.9018, test loss 1.053, test acc 0.9112, lr 0.001
epoch 64, train loss 0.9003, test loss 1.056, test acc 0.9097, lr 0.001
epoch 65, train loss 0.9004, test loss 1.059, test acc 0.9086, lr 0.001
epoch 66, train loss 0.8983, test loss 1.056, test acc 0.9072, lr 0.001
epoch 67, train loss 0.8979, test loss 1.067, test acc 0.9053, lr 0.001
epoch 68, train loss 0.8983, test loss 1.052, test acc 0.9093, lr 0.001
epoch 69, train loss 0.8973, test loss 1.051, test acc 0.9106, lr 0.001
epoch 70, train loss 0.8961, test loss 1.06, test acc 0.9072, lr 0.001
epoch 71, train loss 0.8951, test loss 1.06, test acc 0.9054, lr 0.001
epoch 72, train loss 0.8956, test loss 1.059, test acc 0.9066, lr 0.001
epoch 73, train loss 0.8948, test loss 1.055, test acc 0.9087, lr 0.001
epoch 74, train loss 0.8939, test loss 1.056, test acc 0.9086, lr 0.001
epoch 75, train loss 0.8926, test loss 1.065, test acc 0.9067, lr 0.001
epoch 76, train loss 0.8939, test loss 1.054, test acc 0.91, lr 0.001
epoch 77, train loss 0.8928, test loss 1.055, test acc 0.9106, lr 0.001
epoch 78, train loss 0.8919, test loss 1.056, test acc 0.9109, lr 0.001
