Namespace(batch_size=128, channel=16, crop=(32, 4), cuda=True, cutout=(1, 4), epoch=100, factor=0.1, flip=0.5, label_smoothing=0.2, learning_rate=0.001, lr_limit=0.0001, optimzer='adamw', patience=10, plot=False, progress_bar=False, resnet=[18, 18, 18], scheduler='plateau', test=False, threshold=0.01)
trainable parameters: 1730714
epoch 1, train loss 1.941, test loss 1.721, test acc 0.5074, lr 0.001
epoch 2, train loss 1.649, test loss 1.553, test acc 0.6161, lr 0.001
epoch 3, train loss 1.529, test loss 1.481, test acc 0.6655, lr 0.001
epoch 4, train loss 1.448, test loss 1.405, test acc 0.7096, lr 0.001
epoch 5, train loss 1.387, test loss 1.351, test acc 0.7396, lr 0.001
epoch 6, train loss 1.331, test loss 1.304, test acc 0.762, lr 0.001
epoch 7, train loss 1.292, test loss 1.276, test acc 0.7772, lr 0.001
epoch 8, train loss 1.263, test loss 1.26, test acc 0.7898, lr 0.001
epoch 9, train loss 1.239, test loss 1.237, test acc 0.7982, lr 0.001
epoch 10, train loss 1.221, test loss 1.224, test acc 0.8075, lr 0.001
epoch 11, train loss 1.199, test loss 1.207, test acc 0.8198, lr 0.001
epoch 12, train loss 1.182, test loss 1.199, test acc 0.8245, lr 0.001
epoch 13, train loss 1.17, test loss 1.18, test acc 0.8315, lr 0.001
epoch 14, train loss 1.154, test loss 1.187, test acc 0.831, lr 0.001
epoch 15, train loss 1.143, test loss 1.175, test acc 0.8369, lr 0.001
epoch 16, train loss 1.131, test loss 1.165, test acc 0.8393, lr 0.001
epoch 17, train loss 1.123, test loss 1.164, test acc 0.8377, lr 0.001
epoch 18, train loss 1.114, test loss 1.159, test acc 0.8465, lr 0.001
epoch 19, train loss 1.102, test loss 1.147, test acc 0.8536, lr 0.001
epoch 20, train loss 1.099, test loss 1.131, test acc 0.8593, lr 0.001
epoch 21, train loss 1.092, test loss 1.139, test acc 0.8532, lr 0.001
epoch 22, train loss 1.083, test loss 1.136, test acc 0.8583, lr 0.001
epoch 23, train loss 1.079, test loss 1.134, test acc 0.8561, lr 0.001
epoch 24, train loss 1.069, test loss 1.137, test acc 0.8594, lr 0.001
epoch 25, train loss 1.066, test loss 1.127, test acc 0.863, lr 0.001
epoch 26, train loss 1.059, test loss 1.12, test acc 0.8676, lr 0.001
epoch 27, train loss 1.054, test loss 1.116, test acc 0.8684, lr 0.001
epoch 28, train loss 1.048, test loss 1.114, test acc 0.8717, lr 0.001
epoch 29, train loss 1.041, test loss 1.107, test acc 0.876, lr 0.001
epoch 30, train loss 1.042, test loss 1.098, test acc 0.8797, lr 0.001
epoch 31, train loss 1.032, test loss 1.115, test acc 0.8666, lr 0.001
epoch 32, train loss 1.028, test loss 1.106, test acc 0.8741, lr 0.001
epoch 33, train loss 1.024, test loss 1.118, test acc 0.8685, lr 0.001
epoch 34, train loss 1.022, test loss 1.112, test acc 0.8744, lr 0.001
epoch 35, train loss 1.019, test loss 1.111, test acc 0.8724, lr 0.001
epoch 36, train loss 1.012, test loss 1.107, test acc 0.8738, lr 0.001
epoch 37, train loss 1.01, test loss 1.093, test acc 0.8816, lr 0.001
epoch 38, train loss 1.006, test loss 1.1, test acc 0.878, lr 0.001
epoch 39, train loss 1.002, test loss 1.095, test acc 0.8804, lr 0.001
epoch 40, train loss 1.0, test loss 1.105, test acc 0.8746, lr 0.001
epoch 41, train loss 0.9982, test loss 1.098, test acc 0.8818, lr 0.001
epoch 42, train loss 0.9625, test loss 1.071, test acc 0.8955, lr 0.0001
epoch 43, train loss 0.9504, test loss 1.068, test acc 0.8972, lr 0.0001
epoch 44, train loss 0.9451, test loss 1.068, test acc 0.8976, lr 0.0001
epoch 45, train loss 0.942, test loss 1.068, test acc 0.8996, lr 0.0001
epoch 46, train loss 0.9393, test loss 1.066, test acc 0.8993, lr 0.0001
epoch 47, train loss 0.9361, test loss 1.069, test acc 0.8983, lr 0.0001
epoch 48, train loss 0.9364, test loss 1.069, test acc 0.8987, lr 0.0001
epoch 49, train loss 0.9341, test loss 1.07, test acc 0.8993, lr 0.0001
epoch 50, train loss 0.9333, test loss 1.071, test acc 0.8986, lr 0.0001
epoch 51, train loss 0.9314, test loss 1.073, test acc 0.8977, lr 0.0001
epoch 52, train loss 0.9312, test loss 1.072, test acc 0.8966, lr 0.0001
epoch 53, train loss 0.9304, test loss 1.076, test acc 0.8953, lr 0.0001
epoch 54, train loss 0.9269, test loss 1.072, test acc 0.8966, lr 0.0001
epoch 55, train loss 0.9271, test loss 1.073, test acc 0.8966, lr 0.0001
epoch 56, train loss 0.9258, test loss 1.073, test acc 0.8991, lr 0.0001
epoch 57, train loss 0.924, test loss 1.077, test acc 0.894, lr 0.0001
epoch 58, train loss 0.926, test loss 1.076, test acc 0.8972, lr 0.0001
epoch 59, train loss 0.9244, test loss 1.074, test acc 0.8978, lr 0.0001
epoch 60, train loss 0.9222, test loss 1.077, test acc 0.8971, lr 0.0001
epoch 61, train loss 0.9208, test loss 1.076, test acc 0.8986, lr 0.0001
epoch 62, train loss 0.9195, test loss 1.078, test acc 0.8981, lr 0.0001
epoch 63, train loss 0.9196, test loss 1.08, test acc 0.8982, lr 0.0001
epoch 64, train loss 0.9184, test loss 1.078, test acc 0.8983, lr 0.0001
epoch 65, train loss 0.9191, test loss 1.075, test acc 0.898, lr 0.0001
epoch 66, train loss 0.9165, test loss 1.077, test acc 0.8984, lr 0.0001
epoch 67, train loss 0.9167, test loss 1.081, test acc 0.8975, lr 0.0001
epoch 68, train loss 0.9167, test loss 1.078, test acc 0.8985, lr 0.0001
epoch 69, train loss 0.916, test loss 1.08, test acc 0.8981, lr 0.0001
epoch 70, train loss 0.9147, test loss 1.079, test acc 0.8961, lr 0.0001
epoch 71, train loss 0.9146, test loss 1.082, test acc 0.8955, lr 0.0001
epoch 72, train loss 0.9156, test loss 1.08, test acc 0.8982, lr 0.0001
epoch 73, train loss 0.9139, test loss 1.082, test acc 0.8959, lr 0.0001
epoch 74, train loss 0.9132, test loss 1.082, test acc 0.8944, lr 0.0001
epoch 75, train loss 0.9128, test loss 1.085, test acc 0.8954, lr 0.0001
epoch 76, train loss 0.9125, test loss 1.081, test acc 0.8961, lr 0.0001
epoch 77, train loss 0.9126, test loss 1.082, test acc 0.8967, lr 0.0001
epoch 78, train loss 0.9107, test loss 1.083, test acc 0.8953, lr 0.0001
epoch 79, train loss 0.9097, test loss 1.088, test acc 0.8948, lr 0.0001
epoch 80, train loss 0.9095, test loss 1.089, test acc 0.8966, lr 0.0001
epoch 81, train loss 0.9093, test loss 1.086, test acc 0.895, lr 0.0001
epoch 82, train loss 0.9077, test loss 1.084, test acc 0.8971, lr 0.0001
epoch 83, train loss 0.9084, test loss 1.087, test acc 0.8956, lr 0.0001
epoch 84, train loss 0.9087, test loss 1.084, test acc 0.8967, lr 0.0001
epoch 85, train loss 0.9069, test loss 1.088, test acc 0.8961, lr 0.0001
epoch 86, train loss 0.9066, test loss 1.085, test acc 0.8952, lr 0.0001
epoch 87, train loss 0.9079, test loss 1.086, test acc 0.8948, lr 0.0001
epoch 88, train loss 0.906, test loss 1.088, test acc 0.8972, lr 0.0001
epoch 89, train loss 0.9047, test loss 1.086, test acc 0.8963, lr 0.0001
epoch 90, train loss 0.9062, test loss 1.089, test acc 0.8958, lr 0.0001
epoch 91, train loss 0.9045, test loss 1.089, test acc 0.8953, lr 0.0001
epoch 92, train loss 0.9043, test loss 1.089, test acc 0.8968, lr 0.0001
epoch 93, train loss 0.9055, test loss 1.089, test acc 0.897, lr 0.0001
epoch 94, train loss 0.9006, test loss 1.088, test acc 0.8956, lr 0.0001
epoch 95, train loss 0.9028, test loss 1.086, test acc 0.8939, lr 0.0001
epoch 96, train loss 0.902, test loss 1.087, test acc 0.8977, lr 0.0001
epoch 97, train loss 0.9021, test loss 1.088, test acc 0.8954, lr 0.0001
epoch 98, train loss 0.9029, test loss 1.093, test acc 0.8953, lr 0.0001
