\Namespace(batch_size=128, channel=64, crop=(32, 4), cuda=True, cutout=(1, 4), epoch=400, factor=0.1, flip=0.5, label_smoothing=0.2, learning_rate=0.001, lr_limit=0.0001, measurement='min', optimzer='adamw', patience=10, plot=False, progress_bar=False, resnet=[3, 3, 3], scheduler='plateau', test=False, threshold=0.0001, weight_decay=0.01)
trainable parameters: 4327754
epoch 1, train loss 1.823, test loss 1.598, test acc 0.5935, lr 0.001
epoch 2, train loss 1.52, test loss 1.443, test acc 0.685, lr 0.001
epoch 3, train loss 1.383, test loss 1.338, test acc 0.7492, lr 0.001
epoch 4, train loss 1.295, test loss 1.258, test acc 0.7983, lr 0.001
epoch 5, train loss 1.236, test loss 1.224, test acc 0.8165, lr 0.001
epoch 6, train loss 1.195, test loss 1.197, test acc 0.8291, lr 0.001
epoch 7, train loss 1.16, test loss 1.178, test acc 0.8343, lr 0.001
epoch 8, train loss 1.132, test loss 1.149, test acc 0.8495, lr 0.001
epoch 9, train loss 1.109, test loss 1.128, test acc 0.8648, lr 0.001
epoch 10, train loss 1.091, test loss 1.132, test acc 0.8605, lr 0.001
epoch 11, train loss 1.071, test loss 1.104, test acc 0.8757, lr 0.001
epoch 12, train loss 1.056, test loss 1.12, test acc 0.8644, lr 0.001
epoch 13, train loss 1.042, test loss 1.096, test acc 0.8824, lr 0.001
epoch 14, train loss 1.028, test loss 1.094, test acc 0.8804, lr 0.001
epoch 15, train loss 1.018, test loss 1.092, test acc 0.8829, lr 0.001
epoch 16, train loss 1.007, test loss 1.078, test acc 0.8871, lr 0.001
epoch 17, train loss 1.0, test loss 1.069, test acc 0.8938, lr 0.001
epoch 18, train loss 0.989, test loss 1.073, test acc 0.8945, lr 0.001
epoch 19, train loss 0.9808, test loss 1.064, test acc 0.8947, lr 0.001
epoch 20, train loss 0.9766, test loss 1.06, test acc 0.9009, lr 0.001
epoch 21, train loss 0.9663, test loss 1.06, test acc 0.8986, lr 0.001
epoch 22, train loss 0.9606, test loss 1.065, test acc 0.8991, lr 0.001
epoch 23, train loss 0.9556, test loss 1.051, test acc 0.9069, lr 0.001
epoch 24, train loss 0.9503, test loss 1.081, test acc 0.8905, lr 0.001
epoch 25, train loss 0.9463, test loss 1.049, test acc 0.9063, lr 0.001
epoch 26, train loss 0.9406, test loss 1.051, test acc 0.9043, lr 0.001
epoch 27, train loss 0.9364, test loss 1.047, test acc 0.9075, lr 0.001
epoch 28, train loss 0.9325, test loss 1.048, test acc 0.9078, lr 0.001
epoch 29, train loss 0.9305, test loss 1.051, test acc 0.9064, lr 0.001
epoch 30, train loss 0.9281, test loss 1.061, test acc 0.8997, lr 0.001
epoch 31, train loss 0.9215, test loss 1.051, test acc 0.908, lr 0.001
epoch 32, train loss 0.9188, test loss 1.045, test acc 0.911, lr 0.001
epoch 33, train loss 0.9162, test loss 1.049, test acc 0.9085, lr 0.001
epoch 34, train loss 0.917, test loss 1.039, test acc 0.9109, lr 0.001
epoch 35, train loss 0.9097, test loss 1.048, test acc 0.9105, lr 0.001
epoch 36, train loss 0.9095, test loss 1.036, test acc 0.9166, lr 0.001
epoch 37, train loss 0.9078, test loss 1.042, test acc 0.9118, lr 0.001
epoch 38, train loss 0.9064, test loss 1.049, test acc 0.9107, lr 0.001
epoch 39, train loss 0.9051, test loss 1.05, test acc 0.9089, lr 0.001
epoch 40, train loss 0.905, test loss 1.04, test acc 0.9148, lr 0.001
epoch 41, train loss 0.9026, test loss 1.035, test acc 0.9173, lr 0.001
epoch 42, train loss 0.8982, test loss 1.036, test acc 0.9185, lr 0.001
epoch 43, train loss 0.8992, test loss 1.034, test acc 0.9173, lr 0.001
epoch 44, train loss 0.8988, test loss 1.03, test acc 0.9214, lr 0.001
epoch 45, train loss 0.8981, test loss 1.036, test acc 0.9192, lr 0.001
epoch 46, train loss 0.8941, test loss 1.034, test acc 0.9169, lr 0.001
epoch 47, train loss 0.8948, test loss 1.047, test acc 0.9141, lr 0.001
epoch 48, train loss 0.8947, test loss 1.046, test acc 0.9116, lr 0.001
epoch 49, train loss 0.8915, test loss 1.036, test acc 0.918, lr 0.001
epoch 50, train loss 0.8929, test loss 1.032, test acc 0.9207, lr 0.001
epoch 51, train loss 0.8923, test loss 1.04, test acc 0.9182, lr 0.001
epoch 52, train loss 0.8897, test loss 1.035, test acc 0.918, lr 0.001
epoch 53, train loss 0.891, test loss 1.048, test acc 0.9117, lr 0.001
epoch 54, train loss 0.8891, test loss 1.039, test acc 0.9161, lr 0.001
epoch 55, train loss 0.8893, test loss 1.036, test acc 0.9187, lr 0.001
epoch 56, train loss 0.8786, test loss 1.018, test acc 0.9285, lr 0.0001
epoch 57, train loss 0.8758, test loss 1.015, test acc 0.9311, lr 0.0001
epoch 58, train loss 0.8745, test loss 1.013, test acc 0.9326, lr 0.0001
epoch 59, train loss 0.874, test loss 1.014, test acc 0.931, lr 0.0001
epoch 60, train loss 0.8734, test loss 1.011, test acc 0.9323, lr 0.0001
epoch 61, train loss 0.8731, test loss 1.011, test acc 0.9321, lr 0.0001
epoch 62, train loss 0.8725, test loss 1.011, test acc 0.9314, lr 0.0001
epoch 63, train loss 0.8725, test loss 1.011, test acc 0.9309, lr 0.0001
epoch 64, train loss 0.8725, test loss 1.011, test acc 0.9318, lr 0.0001
epoch 65, train loss 0.8722, test loss 1.011, test acc 0.9312, lr 0.0001
epoch 66, train loss 0.872, test loss 1.01, test acc 0.9326, lr 0.0001
epoch 67, train loss 0.872, test loss 1.009, test acc 0.9316, lr 0.0001
epoch 68, train loss 0.8715, test loss 1.008, test acc 0.9325, lr 0.0001
epoch 69, train loss 0.8717, test loss 1.008, test acc 0.9322, lr 0.0001
epoch 70, train loss 0.8716, test loss 1.008, test acc 0.9339, lr 0.0001
epoch 71, train loss 0.8716, test loss 1.009, test acc 0.9324, lr 0.0001
epoch 72, train loss 0.8712, test loss 1.011, test acc 0.9323, lr 0.0001
epoch 73, train loss 0.8711, test loss 1.009, test acc 0.9313, lr 0.0001
epoch 74, train loss 0.8709, test loss 1.01, test acc 0.9317, lr 0.0001
epoch 75, train loss 0.8711, test loss 1.009, test acc 0.9321, lr 0.0001
epoch 76, train loss 0.8711, test loss 1.009, test acc 0.9332, lr 0.0001
epoch 77, train loss 0.8708, test loss 1.008, test acc 0.9328, lr 0.0001
epoch 78, train loss 0.8706, test loss 1.009, test acc 0.9342, lr 0.0001
epoch 79, train loss 0.8713, test loss 1.009, test acc 0.9334, lr 0.0001
epoch 80, train loss 0.8711, test loss 1.009, test acc 0.9325, lr 0.0001
epoch 81, train loss 0.8708, test loss 1.009, test acc 0.9328, lr 0.0001
epoch 82, train loss 0.8705, test loss 1.008, test acc 0.9332, lr 0.0001
epoch 83, train loss 0.8706, test loss 1.01, test acc 0.9311, lr 0.0001
epoch 84, train loss 0.8706, test loss 1.01, test acc 0.9323, lr 0.0001
epoch 85, train loss 0.8703, test loss 1.01, test acc 0.932, lr 0.0001
epoch 86, train loss 0.8706, test loss 1.008, test acc 0.9329, lr 0.0001
epoch 87, train loss 0.8704, test loss 1.009, test acc 0.9332, lr 0.0001
epoch 88, train loss 0.8703, test loss 1.009, test acc 0.9314, lr 0.0001
epoch 89, train loss 0.8704, test loss 1.009, test acc 0.9329, lr 0.0001
epoch 90, train loss 0.8702, test loss 1.009, test acc 0.9334, lr 0.0001
epoch 91, train loss 0.87, test loss 1.008, test acc 0.9329, lr 0.0001
epoch 92, train loss 0.8701, test loss 1.008, test acc 0.933, lr 0.0001
epoch 93, train loss 0.8702, test loss 1.009, test acc 0.9331, lr 0.0001
