Namespace(batch_size=128, channel=64, crop=(32, 4), cuda=True, cutout=(1, 4), epoch=400, factor=0.5, flip=0.5, label_smoothing=0.2, learning_rate=0.001, lr_limit=0.0001, measurement='min', optimzer='adamw', patience=50, plot=False, progress_bar=False, resnet=[3, 3, 3], scheduler='plateau', test=False, threshold=0.01, weight_decay=0.01)
trainable parameters: 4327754
epoch 1, train loss 1.792, test loss 1.616, test acc 0.5799, lr 0.001
epoch 2, train loss 1.509, test loss 1.437, test acc 0.6926, lr 0.001
epoch 3, train loss 1.385, test loss 1.326, test acc 0.7591, lr 0.001
epoch 4, train loss 1.293, test loss 1.262, test acc 0.7924, lr 0.001
epoch 5, train loss 1.235, test loss 1.224, test acc 0.8182, lr 0.001
epoch 6, train loss 1.192, test loss 1.199, test acc 0.8295, lr 0.001
epoch 7, train loss 1.157, test loss 1.154, test acc 0.8524, lr 0.001
epoch 8, train loss 1.129, test loss 1.145, test acc 0.8556, lr 0.001
epoch 9, train loss 1.109, test loss 1.143, test acc 0.8565, lr 0.001
epoch 10, train loss 1.088, test loss 1.11, test acc 0.8749, lr 0.001
epoch 11, train loss 1.074, test loss 1.116, test acc 0.8723, lr 0.001
epoch 12, train loss 1.059, test loss 1.105, test acc 0.8782, lr 0.001
epoch 13, train loss 1.048, test loss 1.092, test acc 0.8824, lr 0.001
epoch 14, train loss 1.033, test loss 1.079, test acc 0.8904, lr 0.001
epoch 15, train loss 1.021, test loss 1.078, test acc 0.8928, lr 0.001
epoch 16, train loss 1.011, test loss 1.071, test acc 0.8923, lr 0.001
epoch 17, train loss 1.003, test loss 1.071, test acc 0.8934, lr 0.001
epoch 18, train loss 0.9956, test loss 1.066, test acc 0.8969, lr 0.001
epoch 19, train loss 0.9851, test loss 1.067, test acc 0.8978, lr 0.001
epoch 20, train loss 0.9801, test loss 1.057, test acc 0.8995, lr 0.001
epoch 21, train loss 0.9706, test loss 1.058, test acc 0.9006, lr 0.001
epoch 22, train loss 0.9663, test loss 1.056, test acc 0.9037, lr 0.001
epoch 23, train loss 0.9585, test loss 1.062, test acc 0.8994, lr 0.001
epoch 24, train loss 0.9562, test loss 1.064, test acc 0.9018, lr 0.001
epoch 25, train loss 0.9514, test loss 1.052, test acc 0.9033, lr 0.001
epoch 26, train loss 0.9456, test loss 1.046, test acc 0.906, lr 0.001
epoch 27, train loss 0.9403, test loss 1.056, test acc 0.9047, lr 0.001
epoch 28, train loss 0.9369, test loss 1.037, test acc 0.9135, lr 0.001
epoch 29, train loss 0.9309, test loss 1.053, test acc 0.9069, lr 0.001
epoch 30, train loss 0.9295, test loss 1.046, test acc 0.9077, lr 0.001
epoch 31, train loss 0.9262, test loss 1.041, test acc 0.9107, lr 0.001
epoch 32, train loss 0.9241, test loss 1.042, test acc 0.9149, lr 0.001
epoch 33, train loss 0.9212, test loss 1.039, test acc 0.914, lr 0.001
epoch 34, train loss 0.9196, test loss 1.046, test acc 0.9088, lr 0.001
epoch 35, train loss 0.9158, test loss 1.033, test acc 0.9169, lr 0.001
epoch 36, train loss 0.9155, test loss 1.049, test acc 0.9088, lr 0.001
epoch 37, train loss 0.9109, test loss 1.039, test acc 0.914, lr 0.001
epoch 38, train loss 0.9099, test loss 1.041, test acc 0.9131, lr 0.001
epoch 39, train loss 0.9088, test loss 1.038, test acc 0.9174, lr 0.001
epoch 40, train loss 0.9069, test loss 1.046, test acc 0.911, lr 0.001
epoch 41, train loss 0.9043, test loss 1.044, test acc 0.9139, lr 0.001
epoch 42, train loss 0.9038, test loss 1.043, test acc 0.9125, lr 0.001
epoch 43, train loss 0.901, test loss 1.048, test acc 0.9119, lr 0.001
epoch 44, train loss 0.8993, test loss 1.037, test acc 0.9168, lr 0.001
epoch 45, train loss 0.9014, test loss 1.044, test acc 0.9109, lr 0.001
epoch 46, train loss 0.8991, test loss 1.033, test acc 0.9196, lr 0.001
epoch 47, train loss 0.8969, test loss 1.038, test acc 0.9167, lr 0.001
epoch 48, train loss 0.8958, test loss 1.033, test acc 0.9185, lr 0.001
epoch 49, train loss 0.8958, test loss 1.042, test acc 0.9162, lr 0.001
epoch 50, train loss 0.8958, test loss 1.034, test acc 0.9184, lr 0.001
epoch 51, train loss 0.8954, test loss 1.038, test acc 0.9159, lr 0.001
epoch 52, train loss 0.8946, test loss 1.038, test acc 0.9172, lr 0.001
epoch 53, train loss 0.8913, test loss 1.035, test acc 0.9165, lr 0.001
epoch 54, train loss 0.8917, test loss 1.033, test acc 0.9183, lr 0.001
epoch 55, train loss 0.8913, test loss 1.035, test acc 0.9173, lr 0.001
epoch 56, train loss 0.8907, test loss 1.039, test acc 0.9161, lr 0.001
epoch 57, train loss 0.8925, test loss 1.042, test acc 0.9138, lr 0.001
epoch 58, train loss 0.8903, test loss 1.036, test acc 0.9194, lr 0.001
epoch 59, train loss 0.8881, test loss 1.038, test acc 0.9188, lr 0.001
