Namespace(batch_size=128, channel=64, crop=(32, 4), cuda=True, cutout=(1, 4), epoch=400, factor=0.5, flip=0.5, label_smooth=0.2, learning_rate=0.001, lr_limit=0.0001, measurement='min', optimzer='adamw', patience=50, plot=True, progress_bar=True, resnet=[3, 3, 3], scheduler='', test=False, threshold=0.01, weight_decay=0.01)
trainable parameters: 4327754
epoch 1, train loss 1.783, test loss 1.588, test acc 0.5918, lr 0.001
epoch 2, train loss 1.5, test loss 1.439, test acc 0.6903, lr 0.001
epoch 3, train loss 1.368, test loss 1.318, test acc 0.7642, lr 0.001
epoch 4, train loss 1.284, test loss 1.258, test acc 0.7988, lr 0.001
epoch 5, train loss 1.229, test loss 1.221, test acc 0.8188, lr 0.001
epoch 6, train loss 1.186, test loss 1.183, test acc 0.8362, lr 0.001
epoch 7, train loss 1.155, test loss 1.151, test acc 0.8542, lr 0.001
epoch 8, train loss 1.128, test loss 1.14, test acc 0.8577, lr 0.001
epoch 9, train loss 1.108, test loss 1.121, test acc 0.8731, lr 0.001
epoch 10, train loss 1.087, test loss 1.11, test acc 0.8737, lr 0.001
epoch 11, train loss 1.068, test loss 1.105, test acc 0.8769, lr 0.001
epoch 12, train loss 1.057, test loss 1.098, test acc 0.8807, lr 0.001
epoch 13, train loss 1.042, test loss 1.084, test acc 0.8913, lr 0.001
epoch 14, train loss 1.029, test loss 1.085, test acc 0.8868, lr 0.001
epoch 15, train loss 1.018, test loss 1.076, test acc 0.8897, lr 0.001
epoch 16, train loss 1.008, test loss 1.073, test acc 0.8961, lr 0.001
epoch 17, train loss 0.9982, test loss 1.073, test acc 0.8935, lr 0.001
epoch 18, train loss 0.9907, test loss 1.072, test acc 0.8938, lr 0.001
epoch 19, train loss 0.9842, test loss 1.06, test acc 0.8992, lr 0.001
epoch 20, train loss 0.9753, test loss 1.059, test acc 0.9018, lr 0.001
epoch 21, train loss 0.9709, test loss 1.059, test acc 0.9027, lr 0.001
epoch 22, train loss 0.9625, test loss 1.056, test acc 0.9056, lr 0.001
epoch 23, train loss 0.9585, test loss 1.051, test acc 0.9053, lr 0.001
epoch 24, train loss 0.9514, test loss 1.051, test acc 0.9058, lr 0.001
epoch 25, train loss 0.9458, test loss 1.056, test acc 0.9052, lr 0.001
epoch 26, train loss 0.9425, test loss 1.055, test acc 0.9048, lr 0.001
epoch 27, train loss 0.9415, test loss 1.054, test acc 0.9055, lr 0.001
epoch 28, train loss 0.9357, test loss 1.045, test acc 0.9063, lr 0.001
epoch 29, train loss 0.9318, test loss 1.042, test acc 0.9094, lr 0.001
epoch 30, train loss 0.9281, test loss 1.047, test acc 0.909, lr 0.001
epoch 31, train loss 0.9268, test loss 1.036, test acc 0.9148, lr 0.001
epoch 32, train loss 0.9215, test loss 1.045, test acc 0.9111, lr 0.001
epoch 33, train loss 0.9204, test loss 1.039, test acc 0.9152, lr 0.001
epoch 34, train loss 0.9175, test loss 1.042, test acc 0.9128, lr 0.001
epoch 35, train loss 0.9144, test loss 1.039, test acc 0.9147, lr 0.001
epoch 36, train loss 0.9126, test loss 1.041, test acc 0.913, lr 0.001
epoch 37, train loss 0.9098, test loss 1.036, test acc 0.9158, lr 0.001
epoch 38, train loss 0.9095, test loss 1.045, test acc 0.9123, lr 0.001
epoch 39, train loss 0.9056, test loss 1.033, test acc 0.9176, lr 0.001
epoch 40, train loss 0.9048, test loss 1.033, test acc 0.9195, lr 0.001
epoch 41, train loss 0.9061, test loss 1.03, test acc 0.9206, lr 0.001
epoch 42, train loss 0.9016, test loss 1.038, test acc 0.9171, lr 0.001
epoch 43, train loss 0.9012, test loss 1.042, test acc 0.9149, lr 0.001
epoch 44, train loss 0.9003, test loss 1.035, test acc 0.9189, lr 0.001
epoch 45, train loss 0.8995, test loss 1.034, test acc 0.9179, lr 0.001
epoch 46, train loss 0.897, test loss 1.038, test acc 0.9169, lr 0.001
epoch 47, train loss 0.8969, test loss 1.036, test acc 0.9191, lr 0.001
epoch 48, train loss 0.8952, test loss 1.035, test acc 0.9197, lr 0.001
epoch 49, train loss 0.8937, test loss 1.046, test acc 0.9163, lr 0.001
epoch 50, train loss 0.8949, test loss 1.054, test acc 0.9101, lr 0.001
epoch 51, train loss 0.8946, test loss 1.037, test acc 0.9169, lr 0.001
epoch 52, train loss 0.8924, test loss 1.034, test acc 0.9184, lr 0.001
epoch 53, train loss 0.8931, test loss 1.039, test acc 0.9185, lr 0.001
epoch 54, train loss 0.8898, test loss 1.042, test acc 0.919, lr 0.001
epoch 55, train loss 0.8905, test loss 1.024, test acc 0.925, lr 0.001
epoch 56, train loss 0.8891, test loss 1.037, test acc 0.9177, lr 0.001
epoch 57, train loss 0.8895, test loss 1.038, test acc 0.9177, lr 0.001
epoch 58, train loss 0.8875, test loss 1.035, test acc 0.9202, lr 0.001
epoch 59, train loss 0.8883, test loss 1.032, test acc 0.9188, lr 0.001
epoch 60, train loss 0.8864, test loss 1.032, test acc 0.9215, lr 0.001
epoch 61, train loss 0.8876, test loss 1.032, test acc 0.9205, lr 0.001
epoch 62, train loss 0.8895, test loss 1.037, test acc 0.9193, lr 0.001
epoch 63, train loss 0.889, test loss 1.032, test acc 0.923, lr 0.001
epoch 64, train loss 0.8875, test loss 1.04, test acc 0.9163, lr 0.001
epoch 65, train loss 0.8877, test loss 1.029, test acc 0.9222, lr 0.001
epoch 66, train loss 0.8856, test loss 1.031, test acc 0.922, lr 0.001
epoch 67, train loss 0.886, test loss 1.027, test acc 0.9245, lr 0.001
epoch 68, train loss 0.8839, test loss 1.029, test acc 0.9247, lr 0.001
epoch 69, train loss 0.885, test loss 1.029, test acc 0.9239, lr 0.001
epoch 70, train loss 0.8841, test loss 1.031, test acc 0.9233, lr 0.001
epoch 71, train loss 0.8842, test loss 1.027, test acc 0.9238, lr 0.001
epoch 72, train loss 0.8824, test loss 1.032, test acc 0.9214, lr 0.001
epoch 73, train loss 0.8835, test loss 1.032, test acc 0.925, lr 0.001
epoch 74, train loss 0.8839, test loss 1.04, test acc 0.9188, lr 0.001
epoch 75, train loss 0.8839, test loss 1.038, test acc 0.9191, lr 0.001
epoch 76, train loss 0.8817, test loss 1.028, test acc 0.9238, lr 0.001
epoch 77, train loss 0.8822, test loss 1.03, test acc 0.9241, lr 0.001
epoch 78, train loss 0.8821, test loss 1.031, test acc 0.9241, lr 0.001
epoch 79, train loss 0.8812, test loss 1.026, test acc 0.9223, lr 0.001
epoch 80, train loss 0.8803, test loss 1.028, test acc 0.9245, lr 0.001
epoch 81, train loss 0.8806, test loss 1.032, test acc 0.9227, lr 0.001
epoch 82, train loss 0.8814, test loss 1.031, test acc 0.9226, lr 0.001
epoch 83, train loss 0.8818, test loss 1.028, test acc 0.923, lr 0.001
epoch 84, train loss 0.8825, test loss 1.039, test acc 0.9195, lr 0.001
epoch 85, train loss 0.8819, test loss 1.04, test acc 0.9184, lr 0.001
epoch 86, train loss 0.8811, test loss 1.031, test acc 0.92, lr 0.001
epoch 87, train loss 0.8807, test loss 1.038, test acc 0.9185, lr 0.001
epoch 88, train loss 0.8815, test loss 1.035, test acc 0.9228, lr 0.001
epoch 89, train loss 0.8824, test loss 1.031, test acc 0.9224, lr 0.001
epoch 90, train loss 0.8793, test loss 1.039, test acc 0.9203, lr 0.001
epoch 91, train loss 0.8818, test loss 1.033, test acc 0.9241, lr 0.001
epoch 92, train loss 0.88, test loss 1.027, test acc 0.9224, lr 0.001
epoch 93, train loss 0.8794, test loss 1.038, test acc 0.922, lr 0.001
epoch 94, train loss 0.879, test loss 1.029, test acc 0.9245, lr 0.001
epoch 95, train loss 0.8799, test loss 1.042, test acc 0.9168, lr 0.001
epoch 96, train loss 0.8803, test loss 1.032, test acc 0.9206, lr 0.001
epoch 97, train loss 0.8808, test loss 1.029, test acc 0.9258, lr 0.001
epoch 98, train loss 0.8802, test loss 1.034, test acc 0.9222, lr 0.001
epoch 99, train loss 0.8792, test loss 1.03, test acc 0.9261, lr 0.001
epoch 100, train loss 0.8809, test loss 1.033, test acc 0.9197, lr 0.001
epoch 101, train loss 0.8789, test loss 1.025, test acc 0.9256, lr 0.001
epoch 102, train loss 0.88, test loss 1.039, test acc 0.9212, lr 0.001
epoch 103, train loss 0.8815, test loss 1.026, test acc 0.9235, lr 0.001
epoch 104, train loss 0.8779, test loss 1.04, test acc 0.92, lr 0.001
epoch 105, train loss 0.8784, test loss 1.038, test acc 0.9195, lr 0.001
epoch 106, train loss 0.8797, test loss 1.029, test acc 0.9227, lr 0.001
epoch 107, train loss 0.8775, test loss 1.026, test acc 0.9268, lr 0.001
epoch 108, train loss 0.8793, test loss 1.029, test acc 0.9241, lr 0.001
epoch 109, train loss 0.879, test loss 1.021, test acc 0.9279, lr 0.001
epoch 110, train loss 0.8768, test loss 1.038, test acc 0.9214, lr 0.001
epoch 111, train loss 0.8783, test loss 1.043, test acc 0.919, lr 0.001
epoch 112, train loss 0.8785, test loss 1.024, test acc 0.9258, lr 0.001
epoch 113, train loss 0.8789, test loss 1.029, test acc 0.9251, lr 0.001
epoch 114, train loss 0.8798, test loss 1.023, test acc 0.9251, lr 0.001
epoch 115, train loss 0.8779, test loss 1.024, test acc 0.9277, lr 0.001
epoch 116, train loss 0.8782, test loss 1.031, test acc 0.9231, lr 0.001
epoch 117, train loss 0.8807, test loss 1.029, test acc 0.9214, lr 0.001
epoch 118, train loss 0.8804, test loss 1.03, test acc 0.9231, lr 0.001
epoch 119, train loss 0.8783, test loss 1.036, test acc 0.9222, lr 0.001
epoch 120, train loss 0.8787, test loss 1.03, test acc 0.9235, lr 0.001
epoch 121, train loss 0.8786, test loss 1.03, test acc 0.9262, lr 0.001
epoch 122, train loss 0.8769, test loss 1.038, test acc 0.9197, lr 0.001
epoch 123, train loss 0.8768, test loss 1.031, test acc 0.9248, lr 0.001
epoch 124, train loss 0.878, test loss 1.029, test acc 0.9255, lr 0.001
epoch 125, train loss 0.879, test loss 1.033, test acc 0.9242, lr 0.001
epoch 126, train loss 0.8796, test loss 1.036, test acc 0.922, lr 0.001
epoch 127, train loss 0.8789, test loss 1.033, test acc 0.9223, lr 0.001
epoch 128, train loss 0.8764, test loss 1.032, test acc 0.9232, lr 0.001
