epoch 1, train loss 1.773, test loss 1.56, test acc 0.6096, lr 0.001
epoch 2, train loss 1.473, test loss 1.391, test acc 0.7223, lr 0.001
epoch 3, train loss 1.341, test loss 1.299, test acc 0.7687, lr 0.001
epoch 4, train loss 1.271, test loss 1.234, test acc 0.8122, lr 0.001
epoch 5, train loss 1.221, test loss 1.213, test acc 0.8203, lr 0.001
epoch 6, train loss 1.18, test loss 1.179, test acc 0.8394, lr 0.001
epoch 7, train loss 1.149, test loss 1.168, test acc 0.8463, lr 0.001
epoch 8, train loss 1.127, test loss 1.144, test acc 0.8561, lr 0.001
epoch 9, train loss 1.101, test loss 1.132, test acc 0.8607, lr 0.001
epoch 10, train loss 1.083, test loss 1.097, test acc 0.8786, lr 0.001
epoch 11, train loss 1.066, test loss 1.112, test acc 0.8739, lr 0.001
epoch 12, train loss 1.054, test loss 1.09, test acc 0.8859, lr 0.001
epoch 13, train loss 1.039, test loss 1.096, test acc 0.879, lr 0.001
epoch 14, train loss 1.026, test loss 1.094, test acc 0.8808, lr 0.001
epoch 15, train loss 1.019, test loss 1.074, test acc 0.893, lr 0.001
epoch 16, train loss 1.007, test loss 1.073, test acc 0.893, lr 0.001
epoch 17, train loss 0.9975, test loss 1.067, test acc 0.8947, lr 0.001
epoch 18, train loss 0.9908, test loss 1.058, test acc 0.9013, lr 0.001
epoch 19, train loss 0.9805, test loss 1.057, test acc 0.9035, lr 0.001
epoch 20, train loss 0.9748, test loss 1.065, test acc 0.8975, lr 0.001
epoch 21, train loss 0.9697, test loss 1.048, test acc 0.9068, lr 0.001
epoch 22, train loss 0.9618, test loss 1.052, test acc 0.905, lr 0.001
epoch 23, train loss 0.9555, test loss 1.056, test acc 0.9048, lr 0.001
epoch 24, train loss 0.9494, test loss 1.047, test acc 0.9099, lr 0.001
epoch 25, train loss 0.9482, test loss 1.039, test acc 0.9132, lr 0.001
epoch 26, train loss 0.9418, test loss 1.049, test acc 0.9075, lr 0.001
epoch 27, train loss 0.9386, test loss 1.04, test acc 0.9098, lr 0.001
epoch 28, train loss 0.9326, test loss 1.051, test acc 0.9087, lr 0.001
epoch 29, train loss 0.933, test loss 1.044, test acc 0.9117, lr 0.001
epoch 30, train loss 0.9281, test loss 1.044, test acc 0.9108, lr 0.001
epoch 31, train loss 0.9239, test loss 1.051, test acc 0.9079, lr 0.001
epoch 32, train loss 0.9222, test loss 1.042, test acc 0.9109, lr 0.001
epoch 33, train loss 0.9192, test loss 1.043, test acc 0.9138, lr 0.001
epoch 34, train loss 0.9167, test loss 1.038, test acc 0.9152, lr 0.001
epoch 35, train loss 0.912, test loss 1.037, test acc 0.914, lr 0.001
epoch 36, train loss 0.9154, test loss 1.03, test acc 0.9173, lr 0.001
epoch 37, train loss 0.9078, test loss 1.034, test acc 0.9156, lr 0.001
epoch 38, train loss 0.9076, test loss 1.05, test acc 0.912, lr 0.001
epoch 39, train loss 0.9062, test loss 1.033, test acc 0.9182, lr 0.001
epoch 40, train loss 0.9054, test loss 1.036, test acc 0.9176, lr 0.001
epoch 41, train loss 0.9023, test loss 1.029, test acc 0.9219, lr 0.001
epoch 42, train loss 0.9023, test loss 1.04, test acc 0.9145, lr 0.001
epoch 43, train loss 0.8982, test loss 1.039, test acc 0.916, lr 0.001
epoch 44, train loss 0.8988, test loss 1.041, test acc 0.9122, lr 0.001
epoch 45, train loss 0.8978, test loss 1.031, test acc 0.9213, lr 0.001
epoch 46, train loss 0.8987, test loss 1.027, test acc 0.9194, lr 0.001
epoch 47, train loss 0.8974, test loss 1.036, test acc 0.9172, lr 0.001
epoch 48, train loss 0.8957, test loss 1.038, test acc 0.9187, lr 0.001
epoch 49, train loss 0.8936, test loss 1.04, test acc 0.9169, lr 0.001
epoch 50, train loss 0.8954, test loss 1.039, test acc 0.9171, lr 0.001
