trainable parameters: 4327754
epoch 1, train loss 1.799, test loss 1.585, test acc 0.5964, lr 0.001
epoch 2, train loss 1.512, test loss 1.469, test acc 0.6725, lr 0.001
epoch 3, train loss 1.388, test loss 1.345, test acc 0.7503, lr 0.001
epoch 4, train loss 1.302, test loss 1.275, test acc 0.7906, lr 0.001
epoch 5, train loss 1.243, test loss 1.252, test acc 0.8022, lr 0.001
epoch 6, train loss 1.198, test loss 1.206, test acc 0.8265, lr 0.001
epoch 7, train loss 1.168, test loss 1.178, test acc 0.8389, lr 0.001
epoch 8, train loss 1.138, test loss 1.171, test acc 0.8408, lr 0.001
epoch 9, train loss 1.113, test loss 1.15, test acc 0.8576, lr 0.001
epoch 10, train loss 1.094, test loss 1.136, test acc 0.8608, lr 0.001
epoch 11, train loss 1.076, test loss 1.122, test acc 0.8685, lr 0.001
epoch 12, train loss 1.061, test loss 1.095, test acc 0.8812, lr 0.001
epoch 13, train loss 1.049, test loss 1.092, test acc 0.884, lr 0.001
epoch 14, train loss 1.035, test loss 1.09, test acc 0.8847, lr 0.001
epoch 15, train loss 1.023, test loss 1.079, test acc 0.889, lr 0.001
epoch 16, train loss 1.012, test loss 1.08, test acc 0.8885, lr 0.001
epoch 17, train loss 1.003, test loss 1.064, test acc 0.8961, lr 0.001
epoch 18, train loss 0.9949, test loss 1.064, test acc 0.8983, lr 0.001
epoch 19, train loss 0.9852, test loss 1.072, test acc 0.8932, lr 0.001
epoch 20, train loss 0.9796, test loss 1.062, test acc 0.9002, lr 0.001
epoch 21, train loss 0.9709, test loss 1.058, test acc 0.9045, lr 0.001
epoch 22, train loss 0.9647, test loss 1.064, test acc 0.8986, lr 0.001
epoch 23, train loss 0.9586, test loss 1.062, test acc 0.8985, lr 0.001
epoch 24, train loss 0.9528, test loss 1.049, test acc 0.905, lr 0.001
epoch 25, train loss 0.9487, test loss 1.05, test acc 0.9045, lr 0.001
epoch 26, train loss 0.9444, test loss 1.053, test acc 0.9047, lr 0.001
epoch 27, train loss 0.9388, test loss 1.039, test acc 0.9091, lr 0.001
epoch 28, train loss 0.937, test loss 1.043, test acc 0.912, lr 0.001
epoch 29, train loss 0.9311, test loss 1.047, test acc 0.9084, lr 0.001
epoch 30, train loss 0.928, test loss 1.041, test acc 0.9132, lr 0.001
epoch 31, train loss 0.9248, test loss 1.052, test acc 0.9097, lr 0.001
epoch 32, train loss 0.9209, test loss 1.035, test acc 0.9144, lr 0.001
epoch 33, train loss 0.918, test loss 1.039, test acc 0.9153, lr 0.001
epoch 34, train loss 0.9145, test loss 1.046, test acc 0.9113, lr 0.001
epoch 35, train loss 0.9119, test loss 1.047, test acc 0.9128, lr 0.001
epoch 36, train loss 0.9083, test loss 1.053, test acc 0.91, lr 0.001
epoch 37, train loss 0.9079, test loss 1.041, test acc 0.9165, lr 0.001
epoch 38, train loss 0.9069, test loss 1.043, test acc 0.9128, lr 0.001
epoch 39, train loss 0.9054, test loss 1.044, test acc 0.9096, lr 0.001
epoch 40, train loss 0.9032, test loss 1.04, test acc 0.9141, lr 0.001
epoch 41, train loss 0.9003, test loss 1.041, test acc 0.9143, lr 0.001
epoch 42, train loss 0.8996, test loss 1.042, test acc 0.9148, lr 0.001
epoch 43, train loss 0.8983, test loss 1.03, test acc 0.9216, lr 0.001
epoch 44, train loss 0.8969, test loss 1.036, test acc 0.9185, lr 0.001
epoch 45, train loss 0.895, test loss 1.038, test acc 0.9159, lr 0.001
epoch 46, train loss 0.8946, test loss 1.042, test acc 0.9132, lr 0.001
epoch 47, train loss 0.8921, test loss 1.034, test acc 0.9215, lr 0.001
epoch 48, train loss 0.893, test loss 1.033, test acc 0.9201, lr 0.001
epoch 49, train loss 0.8923, test loss 1.034, test acc 0.919, lr 0.001
epoch 50, train loss 0.8904, test loss 1.041, test acc 0.9163, lr 0.001
